OKRES|PS|P_HL_PS|DAT_AKT
101|1|9|01.10.2023 02:50:00
101|2|6|
101|3|2855|
101|4|2|
101|5|315|
101|6|7|
101|7|9|
101|9|27|
101|10|5|
101|11|1|
101|12|1068|
101|13|77|
101|14|3|
101|15|231|
101|16|1056|
101|17|442|
101|18|28|
101|19|4|
101|21|20|
101|22|321|
101|23|377|
101|24|3|
101|25|118|
102|1|66|
102|2|2|
102|3|6756|
102|4|13|
102|5|1203|
102|6|20|
102|7|18|
102|8|3|
102|9|73|
102|10|17|
102|11|4|
102|12|2736|
102|13|297|
102|14|12|
102|15|822|
102|16|3684|
102|17|2018|
102|18|135|
102|19|23|
102|20|6|
102|21|91|
102|22|807|
102|23|1019|
102|24|16|
102|25|584|
103|1|26|
103|2|5|
103|3|3667|
103|4|6|
103|5|612|
103|6|21|
103|7|4|
103|8|2|
103|9|27|
103|10|2|
103|11|3|
103|12|1558|
103|13|133|
103|14|13|
103|15|460|
103|16|1966|
103|17|1052|
103|18|39|
103|19|5|
103|20|2|
103|21|63|
103|22|530|
103|23|478|
103|24|12|
103|25|267|
104|1|59|
104|2|5|
104|3|6583|
104|4|8|
104|5|951|
104|6|35|
104|7|10|
104|8|4|
104|9|49|
104|10|10|
104|11|1|
104|12|2668|
104|13|325|
104|14|21|
104|15|900|
104|16|3409|
104|17|1970|
104|18|54|
104|19|12|
104|20|3|
104|21|125|
104|22|979|
104|23|952|
104|24|18|
104|25|602|
105|1|49|
105|2|5|
105|3|3852|
105|4|6|
105|5|829|
105|6|23|
105|7|12|
105|8|4|
105|9|27|
105|10|4|
105|11|5|
105|12|1615|
105|13|234|
105|14|7|
105|15|647|
105|16|2509|
105|17|1403|
105|18|57|
105|19|9|
105|20|2|
105|21|93|
105|22|633|
105|23|574|
105|24|17|
105|25|421|
106|1|119|
106|2|7|
106|3|6296|
106|4|34|
106|5|2686|
106|6|110|
106|7|11|
106|8|14|
106|9|33|
106|10|22|
106|11|17|
106|12|2457|
106|13|903|
106|14|57|
106|15|1561|
106|16|7766|
106|17|4719|
106|18|19|
106|19|25|
106|20|14|
106|21|300|
106|22|1135|
106|23|1412|
106|24|33|
106|25|1651|
107|1|59|
107|2|3|
107|3|3794|
107|4|23|
107|5|1071|
107|6|73|
107|7|3|
107|8|15|
107|9|20|
107|10|18|
107|11|11|
107|12|1424|
107|13|292|
107|14|18|
107|15|850|
107|16|3507|
107|17|2045|
107|18|13|
107|19|8|
107|20|4|
107|21|110|
107|22|669|
107|23|912|
107|24|22|
107|25|675|
108|1|69|
108|2|9|
108|3|5526|
108|4|9|
108|5|1761|
108|6|53|
108|7|47|
108|8|6|
108|9|68|
108|10|3|
108|11|19|
108|12|2226|
108|13|510|
108|14|23|
108|15|900|
108|16|4032|
108|17|2418|
108|18|1168|
108|19|16|
108|20|5|
108|21|109|
108|22|989|
108|23|1131|
108|24|11|
108|25|825|
201|1|151|
201|2|13|
201|3|5833|
201|4|27|
201|5|3811|
201|6|56|
201|7|471|
201|8|23|
201|9|937|
201|10|11|
201|11|6|
201|12|1354|
201|13|667|
201|14|15|
201|15|595|
201|16|6579|
201|17|2806|
201|18|25247|
201|19|19|
201|20|7|
201|21|130|
201|22|505|
201|23|467|
201|24|12|
201|25|799|
202|1|72|
202|2|15|
202|3|3085|
202|4|31|
202|5|2379|
202|6|98|
202|7|76|
202|8|8|
202|9|146|
202|10|8|
202|11|10|
202|12|1077|
202|13|515|
202|14|19|
202|15|928|
202|16|5012|
202|17|2811|
202|18|4118|
202|19|13|
202|20|6|
202|21|206|
202|22|487|
202|23|708|
202|24|22|
202|25|936|
203|1|38|
203|2|3|
203|3|2239|
203|4|17|
203|5|963|
203|6|97|
203|7|7|
203|8|5|
203|9|23|
203|10|4|
203|11|16|
203|12|725|
203|13|304|
203|14|12|
203|15|891|
203|16|4094|
203|17|2257|
203|18|9|
203|19|8|
203|20|1|
203|21|156|
203|22|505|
203|23|750|
203|24|14|
203|25|784|
204|1|38|
204|2|3|
204|3|2911|
204|4|16|
204|5|953|
204|6|49|
204|7|3|
204|8|8|
204|9|14|
204|10|6|
204|11|8|
204|12|925|
204|13|293|
204|14|51|
204|15|769|
204|16|3730|
204|17|1995|
204|18|9|
204|19|10|
204|20|8|
204|21|140|
204|22|527|
204|23|866|
204|24|40|
204|25|734|
205|1|52|
205|2|3|
205|3|2861|
205|4|11|
205|5|1397|
205|6|113|
205|7|6|
205|8|15|
205|9|15|
205|10|9|
205|11|7|
205|12|914|
205|13|526|
205|14|23|
205|15|858|
205|16|3836|
205|17|2397|
205|18|6|
205|19|24|
205|20|5|
205|21|148|
205|22|446|
205|23|841|
205|24|23|
205|25|911|
206|1|40|
206|2|5|
206|3|2597|
206|4|22|
206|5|1554|
206|6|57|
206|7|2|
206|8|12|
206|9|11|
206|10|7|
206|11|1|
206|12|812|
206|13|401|
206|14|10|
206|15|659|
206|16|2599|
206|17|1736|
206|18|4|
206|19|8|
206|20|6|
206|21|167|
206|22|515|
206|23|1053|
206|24|11|
206|25|639|
207|1|69|
207|2|6|
207|3|4698|
207|4|21|
207|5|3181|
207|6|97|
207|7|12|
207|8|45|
207|9|39|
207|10|10|
207|11|19|
207|12|1690|
207|13|623|
207|14|35|
207|15|1517|
207|16|6837|
207|17|3997|
207|18|13|
207|19|19|
207|20|8|
207|21|241|
207|22|1011|
207|23|1687|
207|24|25|
207|25|1466|
301|1|53|
301|2|6|
301|3|2922|
301|4|19|
301|5|1287|
301|6|111|
301|7|12|
301|8|34|
301|9|17|
301|10|12|
301|11|14|
301|12|988|
301|13|448|
301|14|19|
301|15|1442|
301|16|6739|
301|17|3754|
301|18|5|
301|19|17|
301|20|6|
301|21|228|
301|22|418|
301|23|1197|
301|24|16|
301|25|1137|
302|1|75|
302|2|4|
302|3|3286|
302|4|12|
302|5|1169|
302|6|85|
302|7|14|
302|8|4|
302|9|61|
302|10|17|
302|11|12|
302|12|1269|
302|13|406|
302|14|44|
302|15|2031|
302|16|7538|
302|17|3897|
302|18|15|
302|19|16|
302|20|5|
302|21|239|
302|22|548|
302|23|1235|
302|24|40|
302|25|1160|
303|1|35|
303|2|10|
303|3|2497|
303|4|9|
303|5|732|
303|6|68|
303|7|7|
303|8|19|
303|9|20|
303|10|8|
303|11|8|
303|12|822|
303|13|326|
303|14|16|
303|15|694|
303|16|2911|
303|17|2264|
303|18|4|
303|19|14|
303|20|2|
303|21|116|
303|22|282|
303|23|199|
303|24|55|
303|25|619|
304|1|101|
304|2|12|
304|3|5311|
304|4|25|
304|5|2075|
304|6|126|
304|7|9|
304|8|10|
304|9|23|
304|10|29|
304|11|17|
304|12|1828|
304|13|808|
304|14|32|
304|15|1717|
304|16|7715|
304|17|4718|
304|18|8|
304|19|25|
304|20|12|
304|21|353|
304|22|798|
304|23|1362|
304|24|63|
304|25|1632|
305|1|82|
305|2|11|
