OKRES|PS|P_HL_PS|DAT_AKT
101|1|8|01.10.2023 02:40:00
101|2|6|
101|3|2528|
101|5|283|
101|6|5|
101|7|9|
101|9|27|
101|10|4|
101|11|1|
101|12|981|
101|13|69|
101|14|3|
101|15|200|
101|16|959|
101|17|392|
101|18|24|
101|19|4|
101|21|18|
101|22|284|
101|23|350|
101|24|3|
101|25|103|
102|1|56|
102|2|1|
102|3|5507|
102|4|9|
102|5|953|
102|6|15|
102|7|15|
102|8|3|
102|9|61|
102|10|14|
102|11|2|
102|12|2216|
102|13|233|
102|14|7|
102|15|644|
102|16|2983|
102|17|1587|
102|18|111|
102|19|21|
102|20|6|
102|21|68|
102|22|641|
102|23|816|
102|24|13|
102|25|467|
103|1|22|
103|2|4|
103|3|2926|
103|4|6|
103|5|499|
103|6|17|
103|7|3|
103|8|2|
103|9|21|
103|10|2|
103|11|3|
103|12|1256|
103|13|117|
103|14|11|
103|15|368|
103|16|1683|
103|17|921|
103|18|31|
103|19|4|
103|20|2|
103|21|56|
103|22|440|
103|23|402|
103|24|11|
103|25|235|
104|1|49|
104|2|5|
104|3|5545|
104|4|5|
104|5|793|
104|6|26|
104|7|7|
104|8|3|
104|9|45|
104|10|9|
104|11|1|
104|12|2249|
104|13|255|
104|14|19|
104|15|749|
104|16|2779|
104|17|1617|
104|18|48|
104|19|10|
104|20|3|
104|21|97|
104|22|806|
104|23|806|
104|24|14|
104|25|494|
105|1|45|
105|2|3|
105|3|3638|
105|4|5|
105|5|781|
105|6|22|
105|7|12|
105|8|4|
105|9|25|
105|10|3|
105|11|5|
105|12|1539|
105|13|217|
105|14|7|
105|15|606|
105|16|2367|
105|17|1329|
105|18|55|
105|19|8|
105|20|2|
105|21|89|
105|22|598|
105|23|557|
105|24|15|
105|25|403|
106|1|100|
106|2|7|
106|3|5474|
106|4|33|
106|5|2294|
106|6|102|
106|7|11|
106|8|14|
106|9|27|
106|10|20|
106|11|14|
106|12|2105|
106|13|773|
