PS|PC_HL|P_HL_KAN|DAT_AKT
1|1|107|30.09.2023 23:50:00
1|2|41|
1|3|44|
1|4|44|
1|5|43|
1|6|24|
1|7|33|
1|8|33|
1|9|20|
1|10|38|
1|11|20|
1|12|18|
1|13|23|
1|14|20|
1|15|27|
1|16|18|
1|17|26|
1|18|43|
1|19|6|
1|20|16|
1|21|13|
1|22|10|
1|23|5|
1|24|5|
1|25|5|
1|26|9|
1|27|20|
1|28|14|
1|29|10|
1|30|5|
1|31|11|
1|32|3|
1|33|5|
1|34|8|
1|35|6|
1|36|8|
1|37|9|
1|38|3|
1|39|8|
1|40|5|
1|41|4|
1|42|5|
1|43|1|
1|44|8|
1|45|5|
1|46|1|
1|47|10|
1|48|2|
1|49|3|
1|50|4|
1|51|6|
1|52|5|
1|53|4|
1|54|6|
1|55|6|
1|56|6|
1|57|5|
1|58|10|
1|59|3|
1|60|8|
2|1|9|
2|2|11|
2|3|59|
2|4|13|
2|5|10|
2|6|9|
2|7|5|
2|8|9|
2|9|13|
2|10|5|
2|11|2|
2|12|10|
2|13|4|
2|14|6|
2|15|5|
2|16|4|
2|17|8|
2|18|15|
2|19|5|
2|20|6|
2|21|10|
2|22|3|
2|23|2|
2|24|1|
2|25|2|
2|26|1|
2|27|3|
2|28|9|
2|29|3|
2|30|1|
2|31|1|
2|32|3|
2|33|0|
2|34|0|
2|35|2|
2|36|4|
2|37|0|
2|38|1|
2|39|5|
2|40|0|
2|41|0|
2|42|4|
2|43|1|
2|44|1|
2|45|2|
2|46|5|
2|47|2|
2|48|2|
2|49|0|
2|50|3|
2|51|0|
2|52|2|
2|53|0|
2|54|0|
2|55|3|
2|56|1|
2|57|2|
2|58|9|
2|59|0|
2|60|1|
2|61|2|
2|62|2|
2|63|0|
2|64|3|
2|65|0|
2|66|4|
2|67|1|
2|68|1|
2|69|1|
2|70|11|
3|1|6386|
3|2|2113|
3|3|2550|
3|4|1341|
3|5|1122|
3|6|541|
3|7|281|
3|8|318|
3|9|645|
3|10|623|
3|11|336|
3|12|443|
3|13|508|
3|14|224|
3|15|1094|
