OKRES|P_OKRSOK|P_ZAP|P_ZUC|P_OO|P_HL|DAT_AKT
101|5|4901|3884|3865|3849|01.10.2023 02:20:00
102|20|17644|13198|13015|12912|
103|13|10370|7063|7059|7008|
104|14|12030|8984|8977|8892|
105|14|12359|9102|9022|8948|
106|28|25337|18061|18046|17857|
107|8|6438|4963|4960|4930|
108|18|13323|9475|9458|9371|
201|76|52102|31399|31354|30907|
202|26|19980|13043|13026|12864|
203|19|11613|8547|8539|8465|
204|21|12986|9287|9285|9200|
205|17|12138|8367|8359|8266|
206|17|11270|7652|7641|7531|
207|25|17272|11858|11844|11684|
301|44|15091|11471|11469|11337|
302|27|15076|11360|11352|11216|
303|20|10280|7240|7231|7139|
304|38|23246|16599|16589|16416|
305|37|23819|16725|16718|16536|
306|30|11889|9058|9053|8919|
307|87|60487|42329|42307|41893|
308|29|15609|11379|11363|11196|
309|52|33074|24623|24595|24306|
401|58|35576|20141|20134|19883|
402|128|63531|40539|40503|39947|
403|66|40710|29614|29595|29267|
404|41|25779|17085|17070|16872|
405|19|16916|10043|10030|9884|
406|44|21099|15514|15504|15333|
407|16|7762|5813|5811|5749|
501|18|11395|8545|8542|8442|
502|17|11412|8125|8121|8005|
503|18|9923|7491|7485|7420|
504|12|8660|6681|6677|6608|
505|55|27409|19431|19419|19173|
506|55|32862|23617|23593|23299|
507|17|15044|11110|11093|10943|
508|41|30043|21674|21659|21439|
509|25|8551|6118|6117|6041|
510|10|6872|5079|5079|5037|
511|78|52312|39479|39400|39003|
601|65|36273|26373|26358|26084|
602|11|3157|2095|2094|2072|
603|18|8817|5971|5965|5891|
604|26|11433|8217|8215|8116|
605|34|8038|5314|5306|5219|
606|79|40178|21924|21913|21625|
607|31|14387|9070|9061|8936|
608|40|11002|5834|5824|5702|
609|109|33843|18345|18335|17993|
610|57|17525|10378|10372|10219|
611|38|20492|14126|14119|13990|
612|22|11113|7707|7701|7588|
613|32|16270|10924|10919|10794|
701|103|46474|31948|31928|31564|
702|82|42567|27696|27667|27357|
703|57|41232|26227|26196|25774|
704|36|13494|9313|9306|9196|
705|29|8075|4956|4951|4877|
706|50|41509|27956|27916|27569|
707|92|58900|41826|41782|41209|
708|44|24600|17303|17288|17049|
709|45|25174|16178|16173|15970|
710|46|23216|15606|15598|15444|
711|49|13038|8654|8645|8538|
712|72|19209|12723|12701|12560|
713|69|39266|26130|26111|25778|
801|11|4565|3062|3060|3008|
802|19|16206|9781|9770|9677|
803|12|10738|7166|7161|7098|
804|5|4795|2755|2752|2734|
805|20|18251|11638|11614|11512|
806|114|66039|42254|42193|41490|
807|86|48258|27625|27609|27251|
808|73|31833|18394|18378|18067|
809|43|11346|7273|7266|7153|
810|30|22494|13700|13672|13481|
811|96|53080|29360|29345|28848|
