OKRES|P_OKRSOK|P_ZAP|P_ZUC|P_OO|P_HL|DAT_AKT
101|8|8505|6307|6288|6261|01.10.2023 02:40:00
102|26|23039|16779|16585|16449|
103|16|13013|9118|9114|9042|
104|25|21908|16583|16564|16434|
105|19|17045|12519|12428|12335|
106|40|38727|27599|27567|27297|
107|18|15352|11526|11519|11411|
108|27|23130|16968|16949|16731|
201|99|71754|43628|43568|42972|
202|34|27890|18351|18327|18102|
203|24|16133|11870|11861|11746|
204|26|16679|11965|11961|11842|
205|24|18520|12527|12518|12369|
206|22|15503|10432|10419|10281|
207|42|31755|22596|22571|22270|
301|57|25238|18407|18399|18191|
302|37|23518|17378|17362|17178|
303|25|14676|10255|10245|10134|
304|51|33351|24016|23999|23701|
305|48|33482|23751|23741|23465|
306|45|23845|17599|17586|17368|
307|119|91465|63288|63252|62601|
308|36|20824|15363|15347|15125|
309|71|48587|36262|36227|35814|
401|78|54535|30382|30368|29961|
402|149|79620|50772|50731|50044|
403|82|53157|38654|38634|38200|
404|55|37011|24314|24294|23990|
405|32|30187|19025|19005|18773|
406|52|26283|19449|19437|19210|
407|21|11905|8956|8953|8852|
501|21|13882|10447|10444|10326|
502|28|21584|15297|15286|15084|
503|24|14505|10795|10784|10695|
504|17|14712|10954|10937|10819|
505|70|39030|27788|27764|27427|
506|70|46096|32958|32926|32548|
507|29|27043|19685|19659|19380|
508|51|38785|28105|28082|27805|
509|29|10786|7817|7815|7721|
510|14|10377|7772|7770|7702|
511|102|75433|55663|55576|55013|
601|74|42663|31141|31124|30819|
602|13|5349|3568|3567|3529|
603|28|17473|11073|11067|10922|
604|33|16604|11693|11688|11557|
605|36|8827|5878|5869|5775|
606|93|51489|28454|28432|28035|
607|36|16658|10508|10499|10353|
608|50|16449|8612|8596|8419|
609|123|43535|23178|23161|22720|
610|68|23706|14274|14265|14063|
611|49|29468|20611|20593|20413|
612|26|13560|9483|9476|9341|
613|37|20571|14106|14100|13932|
701|112|53967|37078|37058|36623|
702|86|46515|30108|30079|29746|
703|65|49797|31756|31717|31220|
704|41|18529|12560|12546|12387|
705|30|8851|5415|5410|5336|
706|69|59250|39919|39867|39347|
707|127|90911|63929|63874|63042|
708|54|34814|23975|23953|23601|
709|48|28061|17472|17465|17246|
710|58|34463|22348|22338|22087|
711|52|15507|10194|10184|10060|
712|77|24783|16319|16296|16102|
713|82|48918|32597|32573|32155|
801|16|8418|5148|5143|5064|
802|24|20335|12508|12495|12385|
803|19|16906|11236|11229|11123|
804|12|10793|6487|6483|6440|
805|26|23283|14974|14947|14790|
806|142|93050|59436|59352|58316|
807|113|66871|38739|38712|38217|
808|87|44796|25099|25074|24658|
809|51|16443|10610|10579|10424|
810|46|36552|21938|21906|21577|
811|121|73588|41066|41040|40324|
