OKRES|P_OKRSOK|P_ZAP|P_ZUC|P_OO|P_HL|DAT_AKT
106|2|866|592|590|585|01.10.2023 00:40:00
107|2|679|525|525|522|
108|3|610|438|438|437|
201|26|12254|7637|7622|7521|
202|6|3182|2184|2184|2150|
203|5|1768|1260|1259|1249|
204|3|1233|874|873|867|
205|3|1224|870|870|857|
206|6|2336|1552|1549|1533|
207|2|779|585|585|581|
301|23|5059|3914|3914|3869|
302|8|2123|1587|1586|1570|
303|8|2105|1556|1555|1533|
304|16|5965|4442|4441|4393|
305|13|6548|4376|4374|4339|
306|14|4196|3182|3180|3134|
307|28|12513|8757|8751|8665|
308|14|5044|3868|3862|3810|
309|13|4279|3311|3310|3262|
401|17|4226|2256|2255|2231|
402|56|18406|11375|11368|11202|
403|20|9176|6734|6731|6662|
404|13|6245|3857|3857|3814|
405|1|64|38|38|34|
406|18|4985|3733|3731|3679|
407|4|1441|1088|1088|1079|
501|6|2353|1775|1775|1755|
502|4|2045|1420|1420|1394|
503|7|2445|1887|1886|1866|
504|3|1396|1021|1021|1015|
505|17|3459|2626|2626|2598|
506|15|4934|3651|3651|3619|
507|1|309|203|203|203|
508|12|6823|4998|4996|4937|
509|14|2016|1429|1429|1411|
510|5|1881|1453|1453|1442|
511|22|10625|8079|8072|7986|
601|15|4457|3230|3225|3200|
602|6|1202|819|818|812|
603|11|5385|3651|3646|3595|
604|7|1265|938|938|924|
605|25|3518|2304|2303|2256|
606|39|11239|6206|6202|6122|
607|18|5229|3217|3215|3166|
608|24|5128|2794|2790|2732|
609|72|15378|8168|8163|7987|
610|23|4034|2460|2458|2430|
611|12|3853|2630|2630|2607|
612|9|1996|1468|1467|1445|
613|16|6187|4504|4501|4446|
701|56|16457|11459|11453|11334|
702|41|12177|8292|8286|8188|
703|21|8207|5348|5343|5251|
704|16|2460|1882|1882|1857|
705|22|3955|2506|2502|2464|
706|5|2485|1785|1785|1760|
707|29|9854|7177|7169|7088|
708|20|6512|4553|4551|4494|
709|20|3121|2074|2074|2042|
710|25|7059|4662|4662|4616|
711|25|4070|2771|2770|2736|
712|43|5982|4153|4152|4103|
713|30|7976|5486|5483|5416|
801|4|1154|735|735|722|
802|5|3982|2318|2317|2296|
805|4|3372|2097|2097|2079|
806|41|12263|8293|8283|8180|
807|35|15371|8327|8322|8195|
808|30|8874|4910|4908|4801|
809|27|6062|4071|4067|4020|
810|8|4725|2356|2354|2313|
811|40|15834|8852|8847|8706|
