OKRES|P_OKRSOK|P_ZAP|P_ZUC|P_OO|P_HL|DAT_AKT
201|3|650|431|431|423|30.09.2023 23:20:00
203|1|102|73|73|72|
301|5|460|363|363|358|
302|2|209|162|161|159|
304|2|352|282|282|280|
305|1|100|77|77|76|
306|2|285|231|231|225|
308|1|123|90|90|90|
309|2|477|384|383|378|
401|2|280|152|152|149|
402|11|1938|1207|1206|1185|
403|1|154|116|116|116|
405|1|64|38|38|34|
406|2|399|300|299|295|
505|4|756|559|559|554|
506|1|162|118|118|118|
509|1|75|55|55|55|
511|3|648|512|512|502|
601|1|102|79|79|78|
604|1|107|74|74|74|
605|7|661|451|451|446|
606|5|879|500|499|488|
607|2|169|124|124|123|
608|10|1069|603|603|587|
609|24|2925|1686|1686|1661|
610|3|229|143|143|141|
611|2|112|93|93|90|
613|1|233|179|179|175|
701|9|1169|788|787|778|
702|10|916|677|677|666|
703|4|500|366|366|361|
704|3|174|138|138|137|
705|7|993|618|616|608|
707|4|757|569|569|567|
708|2|221|143|143|141|
709|5|271|194|194|191|
710|10|1246|881|881|872|
711|5|194|143|143|140|
712|14|836|637|637|630|
713|10|1482|1103|1102|1090|
806|7|947|702|702|694|
807|2|493|311|311|304|
808|5|382|216|216|212|
809|6|1240|775|771|760|
811|4|732|464|464|461|
