OKRES|PS|P_HL_PS|DAT_AKT
106|1|1|01.10.2023 00:50:00
106|2|1|
106|3|377|
106|4|2|
106|5|240|
106|6|12|
106|7|5|
106|8|2|
106|9|3|
106|12|165|
106|13|85|
106|14|8|
106|15|104|
106|16|653|
106|17|365|
106|19|1|
106|21|28|
106|22|69|
106|23|103|
106|24|1|
106|25|132|
107|1|5|
107|3|92|
107|5|41|
107|6|3|
107|9|1|
107|10|1|
107|11|4|
107|12|41|
107|13|9|
107|14|1|
107|15|47|
107|16|115|
107|17|62|
107|21|5|
107|22|34|
107|23|34|
107|25|27|
108|1|2|
108|2|1|
108|3|151|
108|4|1|
108|5|54|
108|6|1|
108|7|5|
108|9|3|
108|11|2|
108|12|31|
108|13|14|
108|15|26|
108|16|120|
108|17|56|
108|18|192|
108|21|4|
108|22|26|
108|23|27|
108|25|41|
201|1|28|
201|3|872|
201|4|2|
201|5|552|
201|6|18|
201|7|63|
201|8|3|
201|9|195|
201|10|2|
201|11|1|
201|12|221|
201|13|145|
201|14|4|
201|15|109|
201|16|1246|
201|17|486|
201|18|4730|
201|19|2|
201|21|28|
201|22|71|
201|23|59|
201|25|145|
202|1|6|
202|2|1|
202|3|400|
202|4|1|
202|5|252|
202|6|23|
202|7|1|
202|8|1|
202|9|5|
202|10|1|
202|12|140|
202|13|81|
202|14|1|
202|15|164|
202|16|801|
202|17|471|
202|18|92|
202|19|3|
202|20|1|
202|21|29|
202|22|104|
202|23|161|
202|24|1|
202|25|158|
203|1|5|
203|2|1|
203|3|196|
203|5|92|
203|6|6|
203|9|4|
203|12|39|
203|13|36|
203|14|3|
203|15|75|
203|16|400|
203|17|206|
203|20|1|
203|21|16|
203|22|20|
203|23|59|
203|24|1|
203|25|89|
204|1|1|
204|3|119|
204|4|1|
204|5|75|
204|6|9|
204|7|1|
204|8|1|
204|9|1|
204|10|1|
204|11|2|
204|12|62|
204|13|13|
204|15|48|
204|16|234|
204|17|142|
204|19|1|
204|21|18|
204|22|42|
204|23|48|
204|24|1|
204|25|47|
205|1|5|
205|3|254|
205|4|1|
205|5|136|
205|6|9|
205|7|1|
205|10|3|
205|11|1|
205|12|89|
205|13|48|
205|14|1|
205|15|69|
205|16|361|
205|17|278|
205|19|1|
205|21|13|
205|22|61|
205|23|89|
205|24|3|
205|25|85|
206|1|3|
206|3|277|
206|4|5|
206|5|244|
206|6|3|
206|8|3|
206|12|80|
206|13|44|
206|14|1|
206|15|73|
206|16|256|
206|17|218|
206|19|1|
206|21|25|
206|22|75|
206|23|144|
206|25|81|
207|1|3|
207|2|1|
207|3|112|
207|5|73|
207|6|2|
207|9|2|
207|11|1|
207|12|35|
207|13|22|
207|14|1|
207|15|46|
207|16|221|
207|17|108|
207|21|9|
207|22|28|
207|23|37|
207|25|46|
301|1|7|
301|2|1|
301|3|453|
301|4|6|
301|5|212|
301|6|25|
301|7|3|
301|8|4|
301|9|1|
301|10|3|
301|11|3|
301|12|146|
301|13|81|
301|14|2|
301|15|247|
301|16|1357|
301|17|702|
301|19|3|
301|20|1|
301|21|44|
301|22|81|
301|23|255|
301|24|2|
301|25|230|
302|1|12|
302|2|3|
302|3|269|
302|4|3|
302|5|94|
302|6|10|
302|7|1|
302|8|1|
302|9|2|
302|10|2|
302|11|2|
302|12|101|
302|13|49|
302|14|2|
302|15|205|
302|16|880|
302|17|389|
302|18|9|
302|19|1|
302|21|26|
302|22|47|
302|23|110|
302|24|3|
302|25|116|
303|1|5|
303|2|1|
303|3|336|
303|4|1|
303|5|64|
303|6|10|
303|7|2|
303|8|4|
303|9|2|
303|11|1|
303|12|82|
303|13|47|
303|14|2|
303|15|96|
303|16|420|
303|17|320|
303|18|1|
303|19|1|
303|21|7|
303|22|23|
303|23|26|
303|24|4|
303|25|78|
304|1|14|
304|2|3|
304|3|1037|
304|4|6|
304|5|386|
304|6|29|
304|7|5|
304|9|6|
304|10|12|
304|11|4|
304|12|374|
304|13|172|
304|14|5|
304|15|397|
304|16|1540|
304|17|1002|
304|18|3|
304|19|3|
304|21|77|
304|22|170|
304|23|309|
304|24|9|
304|25|342|
305|1|16|
305|2|4|
305|3|569|
305|4|5|
305|5|241|
305|6|17|
305|8|2|
305|9|3|
305|10|1|
305|12|204|
305|13|89|
305|14|8|
305|15|285|
305|16|1534|
305|17|684|
305|18|1|
305|19|3|
305|21|64|
305|22|121|
305|23|264|
305|24|2|
305|25|222|
306|1|11|
306|2|1|
306|3|421|
306|4|4|
306|5|132|
306|6|12|
306|8|1|
306|9|4|
306|10|2|
306|11|4|
306|12|133|
306|13|68|
306|14|2|
306|15|351|
306|16|1212|
306|17|573|
306|18|3|
306|19|1|
306|21|33|
306|22|75|
306|23|197|
306|24|1|
306|25|216|
307|1|39|
307|3|1846|
307|4|8|
307|5|705|
307|6|75|
307|7|4|
307|8|14|
307|9|19|
307|10|4|
307|11|4|
307|12|624|
307|13|288|
307|14|13|
307|15|871|
307|16|3682|
307|17|2024|
307|18|4|
307|19|11|
307|20|3|
307|21|132|
307|22|370|
307|23|444|
307|24|10|
307|25|830|
308|1|12|
308|3|479|
308|4|2|
308|5|190|
308|6|16|
308|9|5|
308|11|1|
308|12|154|
308|13|83|
308|14|11|
308|15|292|
308|16|1314|
308|17|653|
308|19|3|
308|21|57|
308|22|76|
308|23|274|
308|24|4|
308|25|184|
309|1|22|
309|2|1|
309|3|1351|
309|4|9|
309|5|448|
309|6|29|
309|7|1|
309|8|2|
309|9|17|
309|10|7|
309|11|1|
309|12|433|
309|13|151|
309|14|6|
309|15|491|
309|16|1658|
309|17|1168|
309|18|1|
309|19|5|
309|20|3|
309|21|51|
309|22|239|
309|23|577|
309|24|7|
309|25|360|
401|1|8|
401|2|2|
401|3|268|
401|4|4|
401|5|210|
401|6|3|
401|7|21|
401|9|14|
401|10|2|
401|12|49|
401|13|38|
401|14|2|
401|15|63|
401|16|571|
401|17|261|
401|18|1791|
401|19|1|
401|21|11|
401|22|25|
401|23|13|
401|24|2|
401|25|91|
402|1|55|
402|2|6|
402|3|1678|
402|4|8|
402|5|1284|
402|6|52|
402|7|60|
402|8|6|
402|9|63|
402|10|5|
402|11|21|
402|12|542|
402|13|334|
402|14|12|
402|15|423|
402|16|2851|
402|17|1898|
402|18|1919|
402|19|18|
402|20|6|
402|21|180|
402|22|290|
402|23|415|
402|24|10|
402|25|583|
403|1|11|
403|2|1|
403|3|1296|
403|4|4|
403|5|512|
403|6|15|
403|7|3|
403|8|2|
403|9|12|
403|10|1|
403|11|6|
403|12|508|
403|13|137|
403|14|10|
403|15|400|
403|16|2088|
403|17|1309|
403|18|94|
403|19|8|
403|21|68|
403|22|200|
403|23|335|
403|24|3|
403|25|418|
404|1|18|
404|3|551|
404|4|5|
404|5|315|
404|6|12|
404|7|9|
404|9|22|
404|10|1|
404|12|164|
404|13|88|
404|14|6|
404|15|161|
404|16|1010|
404|17|639|
404|18|938|
404|19|7|
404|20|1|
404|21|31|
404|22|82|
404|23|93|
404|24|1|
404|25|186|
405|1|9|
405|3|139|
405|5|56|
405|6|5|
405|7|2|
405|9|2|
405|12|55|
405|13|15|
405|15|16|
405|16|140|
405|17|121|
405|18|21|
405|21|7|
405|22|17|
405|23|14|
405|25|27|
406|1|12|
406|2|1|
406|3|345|
406|5|236|
406|6|3|
406|8|1|
406|9|3|
406|11|1|
406|12|140|
406|13|85|
406|14|2|
406|15|267|
406|16|1444|
406|17|600|
406|18|1|
406|19|1|
406|21|26|
406|22|88|
406|23|237|
406|24|6|
406|25|180|
407|1|9|
407|3|196|
407|5|116|
407|6|11|
407|9|1|
407|10|2|
407|12|70|
407|13|34|
407|14|3|
407|15|225|
407|16|590|
407|17|373|
407|18|17|
407|19|4|
407|20|1|
407|21|27|
407|22|35|
407|23|77|
407|24|3|
407|25|122|
501|1|7|
501|3|300|
501|4|1|
501|5|131|
501|6|13|
501|9|4|
501|12|104|
501|13|48|
501|14|5|
501|15|191|
501|16|806|
501|17|441|
501|18|1|
501|19|1|
501|21|18|
501|22|45|
501|23|131|
501|24|4|
501|25|136|
502|1|2|
502|2|1|
502|3|114|
502|4|2|
502|5|63|
502|6|3|
502|11|1|
502|12|55|
502|13|27|
502|15|105|
502|16|557|
502|17|297|
502|20|1|
502|21|8|
502|22|18|
502|23|81|
502|25|59|
503|1|10|
503|2|3|
503|3|476|
503|4|4|
503|5|319|
503|6|12|
503|8|1|
503|9|2|
503|10|4|
503|11|1|
503|12|162|
503|13|102|
503|14|2|
503|15|200|
503|16|628|
503|17|525|
503|20|3|
503|21|33|
503|22|147|
503|23|401|
503|24|3|
503|25|156|
504|1|5|
504|2|1|
504|3|232|
504|5|121|
504|6|6|
504|10|1|
504|11|1|
504|12|86|
504|13|33|
504|14|3|
504|15|210|
504|16|743|
504|17|288|
504|19|1|
504|20|2|
504|21|19|
504|22|37|
504|23|88|
504|25|97|
505|1|10|
505|2|3|
505|3|413|
505|5|171|
505|6|15|
505|9|3|
505|11|5|
505|12|151|
505|13|99|
505|14|4|
505|15|227|
505|16|613|
505|17|561|
505|18|3|
505|19|1|
505|21|31|
505|22|89|
505|23|195|
505|24|2|
505|25|213|
506|1|21|
