OKRES|PS|P_HL_PS|DAT_AKT
102|1|5|01.10.2023 01:00:00
102|3|618|
102|4|1|
102|5|146|
102|6|2|
102|7|6|
102|8|1|
102|9|8|
102|10|2|
102|12|270|
102|13|41|
102|14|2|
102|15|104|
102|16|428|
102|17|246|
102|18|17|
102|19|7|
102|21|5|
102|22|67|
102|23|110|
102|25|55|
103|1|1|
103|3|57|
103|5|19|
103|8|1|
103|9|1|
103|12|15|
103|13|5|
103|15|9|
103|16|63|
103|17|27|
103|18|1|
103|19|1|
103|21|2|
103|22|13|
103|23|4|
103|25|19|
105|1|4|
105|3|146|
105|5|29|
105|6|3|
105|9|2|
105|12|67|
105|13|8|
105|15|23|
105|16|96|
105|17|70|
105|18|6|
105|21|2|
105|22|32|
105|23|23|
105|24|2|
105|25|15|
106|1|16|
106|2|3|
106|3|964|
106|4|6|
106|5|474|
106|6|21|
106|7|6|
106|8|3|
106|9|6|
106|10|2|
106|11|2|
106|12|393|
106|13|182|
106|14|11|
106|15|272|
106|16|1458|
106|17|838|
106|18|3|
106|19|5|
106|21|57|
106|22|168|
106|23|221|
106|24|1|
106|25|320|
107|1|6|
107|3|261|
107|5|54|
107|6|5|
107|7|1|
107|9|5|
107|10|1|
107|11|4|
107|12|130|
107|13|25|
107|14|4|
107|15|111|
107|16|266|
107|17|138|
107|18|1|
107|21|7|
107|22|62|
107|23|89|
107|24|1|
107|25|60|
108|1|6|
108|2|1|
108|3|374|
108|4|1|
108|5|175|
108|6|4|
108|7|8|
108|9|3|
108|11|4|
108|12|132|
108|13|56|
108|15|93|
108|16|402|
108|17|222|
108|18|217|
108|21|9|
108|22|85|
108|23|161|
108|25|85|
201|1|36|
201|3|1151|
201|4|4|
201|5|717|
201|6|21|
201|7|89|
201|8|6|
201|9|235|
201|10|3|
201|11|1|
201|12|278|
201|13|176|
201|14|4|
201|15|131|
201|16|1543|
201|17|633|
201|18|6150|
201|19|3|
201|21|34|
201|22|85|
201|23|74|
201|24|1|
201|25|181|
202|1|8|
202|2|2|
202|3|649|
202|4|2|
202|5|451|
202|6|27|
202|7|4|
202|8|2|
202|9|13|
202|10|2|
202|12|221|
202|13|111|
202|14|1|
202|15|215|
202|16|1041|
202|17|603|
202|18|394|
202|19|4|
202|20|2|
202|21|32|
202|22|133|
202|23|177|
202|24|4|
202|25|208|
203|1|9|
203|2|2|
203|3|346|
203|4|1|
203|5|125|
203|6|11|
203|7|3|
203|8|1|
203|9|5|
203|10|1|
203|12|74|
203|13|51|
203|14|3|
203|15|114|
203|16|653|
203|17|323|
203|18|3|
203|20|1|
203|21|19|
203|22|34|
203|23|89|
203|24|1|
203|25|116|
204|1|5|
204|3|228|
204|4|1|
204|5|107|
204|6|11|
204|7|1|
204|8|1|
204|9|1|
204|10|1|
204|11|2|
204|12|86|
204|13|25|
204|14|6|
204|15|81|
204|16|363|
204|17|255|
204|18|1|
204|19|1|
204|21|26|
204|22|54|
204|23|76|
204|24|2|
204|25|116|
205|1|6|
205|3|476|
205|4|2|
205|5|218|
205|6|17|
205|7|1|
205|8|1|
205|9|4|
205|10|3|
205|11|1|
205|12|154|
205|13|79|
205|14|4|
205|15|127|
205|16|549|
205|17|400|
205|19|1|
205|20|1|
205|21|13|
205|22|88|
205|23|151|
205|24|3|
205|25|142|
206|1|9|
206|2|1|
206|3|584|
206|4|7|
206|5|436|
206|6|14|
206|8|4|
206|9|1|
206|10|1|
206|12|202|
206|13|99|
206|14|3|
206|15|161|
206|16|626|
206|17|491|
206|18|1|
206|19|3|
206|20|1|
206|21|49|
206|22|128|
206|23|260|
206|24|2|
206|25|188|
207|1|17|
207|2|3|
207|3|715|
207|4|3|
207|5|513|
207|6|20|
207|7|1|
207|8|13|
207|9|10|
207|10|2|
207|11|3|
207|12|253|
207|13|106|
207|14|6|
207|15|220|
207|16|1098|
207|17|624|
207|19|4|
207|20|2|
207|21|41|
207|22|159|
207|23|273|
207|24|2|
207|25|246|
301|1|13|
301|2|1|
301|3|614|
301|4|6|
301|5|286|
301|6|28|
301|7|4|
301|8|9|
301|9|4|
301|10|3|
301|11|4|
301|12|193|
301|13|114|
301|14|3|
301|15|327|
301|16|1796|
301|17|973|
301|18|2|
301|19|3|
301|20|1|
301|21|56|
301|22|106|
301|23|351|
301|24|6|
301|25|314|
302|1|19|
302|2|3|
302|3|656|
302|4|5|
302|5|246|
302|6|17|
302|7|1|
302|8|1|
302|9|8|
302|10|2|
302|11|3|
302|12|228|
302|13|90|
302|14|7|
302|15|408|
302|16|1664|
302|17|879|
302|18|9|
302|19|3|
302|20|3|
302|21|65|
302|22|132|
302|23|221|
302|24|11|
302|25|225|
303|1|5|
303|2|1|
303|3|483|
303|4|1|
303|5|116|
303|6|13|
303|7|2|
303|8|4|
303|9|2|
303|11|1|
303|12|134|
303|13|63|
303|14|2|
303|15|130|
303|16|644|
303|17|519|
303|18|2|
303|19|1|
303|21|17|
303|22|42|
303|23|42|
303|24|5|
303|25|118|
304|1|17|
304|2|3|
304|3|1274|
304|4|7|
304|5|541|
304|6|33|
304|7|6|
304|8|1|
304|9|7|
304|10|12|
304|11|5|
304|12|471|
304|13|199|
304|14|6|
304|15|488|
304|16|1875|
304|17|1203|
304|18|4|
304|19|7|
