OKRES|P_OKRSOK|P_ZAP|P_ZUC|P_OO|P_HL|DAT_AKT
107|1|355|280|280|279|30.09.2023 23:50:00
108|2|248|180|180|180|
201|10|3776|2397|2395|2368|
202|3|858|557|557|553|
203|3|686|495|494|488|
205|2|693|475|475|470|
206|4|1064|753|751|743|
301|14|2438|1860|1860|1837|
302|4|791|597|596|590|
303|3|672|492|492|485|
304|9|3120|2306|2306|2278|
305|5|1579|1182|1180|1170|
306|8|1307|1027|1027|1015|
307|16|5293|3865|3863|3823|
308|4|668|502|502|497|
309|9|3300|2576|2575|2542|
401|10|1631|888|888|871|
402|30|7406|4471|4470|4383|
403|5|1519|1103|1102|1095|
404|1|193|75|75|75|
405|1|64|38|38|34|
406|10|2886|2133|2132|2109|
407|2|843|656|656|650|
501|2|394|303|303|295|
502|2|983|638|638|632|
503|4|835|625|625|616|
504|1|280|202|202|202|
505|13|2534|1917|1917|1894|
506|7|1572|1148|1148|1134|
508|4|1215|879|879|869|
509|9|857|634|634|627|
510|3|1148|891|891|882|
511|11|4470|3447|3446|3404|
601|12|3104|2323|2320|2303|
602|3|417|270|270|268|
603|5|1373|946|944|928|
604|7|1265|938|938|924|
605|19|2395|1606|1606|1578|
606|28|7298|4229|4227|4175|
607|12|2867|1850|1850|1820|
608|17|2057|1195|1195|1166|
609|52|9046|4807|4806|4693|
610|14|2042|1265|1265|1254|
611|4|595|439|439|431|
612|5|969|684|684|672|
613|3|645|431|431|426|
701|34|6922|4802|4801|4750|
702|26|6305|4350|4345|4289|
703|12|2316|1753|1750|1736|
704|11|1219|937|937|923|
705|17|2857|1785|1782|1755|
706|1|323|270|270|270|
707|17|4384|3205|3201|3169|
708|9|2286|1678|1677|1654|
709|16|1996|1309|1309|1286|
710|15|2236|1607|1607|1591|
711|20|2877|1945|1944|1913|
712|29|2581|1866|1866|1849|
713|20|3933|2820|2819|2782|
801|1|147|104|104|102|
806|26|6850|4824|4816|4753|
807|21|7166|3937|3937|3875|
808|15|2792|1496|1496|1470|
809|19|3932|2613|2609|2588|
810|2|540|352|352|350|
811|21|5786|3244|3242|3198|
