OKRES|P_OKRSOK|P_ZAP|P_ZUC|P_OO|P_HL|DAT_AKT
101|9|9476|7034|7013|6984|01.10.2023 02:50:00
102|32|28604|20797|20603|20425|
103|19|15469|11045|11040|10953|
104|30|26272|19929|19909|19753|
105|20|17931|13224|13133|13037|
106|45|44534|31761|31727|31401|
107|24|20952|15814|15798|15639|
108|34|29964|22217|22195|21933|
201|111|84689|51292|51227|50541|
202|41|35034|23095|23056|22786|
203|28|19690|14071|14062|13922|
204|30|19900|14242|14238|14106|
205|29|23442|15646|15636|15447|
206|27|19259|13101|13088|12928|
207|50|38577|27742|27712|27366|
301|62|28982|21151|21141|20901|
302|46|31405|23473|23431|23182|
303|28|16994|11872|11861|11737|
304|58|40449|29178|29159|28809|
305|50|35862|25443|25433|25136|
306|48|25742|19016|19003|18761|
307|131|103000|71953|71912|71172|
308|40|23875|17704|17687|17437|
309|86|62575|46866|46812|46301|
401|86|61988|34670|34649|34200|
402|161|88998|56483|56436|55682|
403|111|79503|56521|56493|55900|
404|64|44272|28964|28940|28578|
405|38|36770|23082|23053|22781|
406|58|30502|22533|22518|22244|
407|30|18931|14022|14017|13862|
501|24|16497|12419|12411|12267|
502|35|27114|19313|19301|19052|
503|31|19831|14708|14693|14569|
504|21|18382|13743|13725|13570|
505|79|45967|32647|32617|32244|
506|79|52910|38061|38023|37592|
507|34|31751|22950|22910|22574|
508|54|41308|29906|29881|29583|
509|31|12435|9128|9126|9018|
510|17|13311|10047|10043|9944|
511|113|85391|63337|63246|62590|
601|82|47850|35017|34998|34654|
602|15|7037|4758|4757|4698|
603|34|21907|14040|14034|13845|
604|35|18549|13134|13129|12993|
605|37|9753|6535|6524|6426|
606|94|52209|28899|28877|28476|
607|36|16658|10508|10499|10353|
608|58|22590|12031|12010|11773|
609|136|51452|27568|27549|27026|
610|71|25434|15328|15319|15102|
611|54|34464|23727|23708|23502|
612|27|14235|9902|9895|9753|
613|43|25025|17135|17124|16903|
701|115|57364|39097|39075|38627|
702|86|46515|30108|30079|29746|
703|67|52169|33335|33292|32764|
704|43|20515|13702|13687|13513|
705|30|8851|5415|5410|5336|
706|80|69576|46838|46779|46163|
707|143|107611|74281|74220|73249|
708|57|37598|25779|25756|25392|
709|48|28061|17472|17465|17246|
710|61|38458|24889|24877|24584|
711|52|15507|10194|10184|10060|
712|77|24783|16319|16296|16102|
713|86|53161|35376|35347|34896|
801|19|11169|6699|6694|6587|
802|27|22921|14173|14160|14041|
803|24|23085|13921|13914|13783|
804|13|11951|7237|7233|7183|
805|34|30303|19427|19395|19205|
806|147|97395|62301|62214|61128|
807|127|79088|45796|45760|45179|
808|88|46301|26008|25983|25547|
809|51|16443|10610|10579|10424|
810|52|42898|26065|26031|25658|
811|126|77975|43404|43375|42598|
