PS|PC_HL|P_HL_KAN|DAT_AKT
1|1|149|01.10.2023 00:20:00
1|2|61|
1|3|54|
1|4|58|
1|5|50|
1|6|31|
1|7|42|
1|8|54|
1|9|36|
1|10|52|
1|11|24|
1|12|21|
1|13|35|
1|14|26|
1|15|43|
1|16|31|
1|17|41|
1|18|59|
1|19|15|
1|20|22|
1|21|20|
1|22|14|
1|23|8|
1|24|9|
1|25|8|
1|26|10|
1|27|25|
1|28|19|
1|29|12|
1|30|9|
1|31|15|
1|32|5|
1|33|6|
1|34|13|
1|35|8|
1|36|11|
1|37|11|
1|38|5|
1|39|10|
1|40|9|
1|41|6|
1|42|8|
1|43|2|
1|44|10|
1|45|7|
1|46|3|
1|47|11|
1|48|4|
1|49|5|
1|50|5|
1|51|9|
1|52|9|
1|53|6|
1|54|9|
1|55|8|
1|56|9|
1|57|6|
1|58|15|
1|59|3|
1|60|9|
2|1|21|
2|2|16|
2|3|75|
2|4|16|
2|5|13|
2|6|11|
2|7|5|
2|8|11|
2|9|14|
2|10|6|
2|11|2|
2|12|11|
2|13|6|
2|14|11|
2|15|8|
2|16|5|
2|17|10|
2|18|17|
2|19|6|
2|20|7|
2|21|12|
2|22|5|
2|23|2|
2|24|2|
2|25|3|
2|26|1|
2|27|4|
2|28|9|
2|29|4|
2|30|1|
2|31|7|
2|32|3|
2|33|1|
2|34|2|
2|35|4|
2|36|6|
2|37|0|
2|38|2|
2|39|5|
2|40|0|
2|41|0|
2|42|4|
2|43|1|
2|44|1|
2|45|2|
2|46|6|
2|47|2|
2|48|2|
2|49|1|
2|50|3|
2|51|0|
2|52|2|
2|53|0|
2|54|0|
2|55|3|
2|56|1|
2|57|2|
2|58|9|
2|59|0|
2|60|1|
2|61|2|
2|62|3|
2|63|1|
2|64|3|
2|65|0|
2|66|5|
2|67|1|
2|68|1|
2|69|1|
2|70|12|
3|1|9773|
3|2|3248|
3|3|3938|
3|4|2051|
3|5|1796|
3|6|805|
3|7|435|
3|8|480|
3|9|962|
3|10|954|
3|11|523|
3|12|654|
3|13|769|
3|14|361|
3|15|1685|
3|16|178|
3|17|1092|
3|18|378|
3|19|356|
3|20|221|
3|21|171|
3|22|165|
3|23|101|
3|24|434|
3|25|347|
3|26|77|
3|27|104|
3|28|106|
3|29|42|
3|30|135|
3|31|230|
3|32|107|
3|33|62|
3|34|43|
3|35|258|
3|36|183|
3|37|205|
3|38|124|
3|39|104|
3|40|142|
3|41|82|
3|42|121|
3|43|39|
3|44|103|
3|45|71|
3|46|75|
3|47|75|
3|48|25|
3|49|105|
3|50|23|
3|51|35|
3|52|186|
3|53|83|
3|54|22|
3|55|63|
3|56|33|
3|57|28|
3|58|128|
3|59|7|
3|60|105|
3|61|56|
3|62|25|
3|63|87|
3|64|84|
3|65|33|
3|66|42|
3|67|31|
3|68|26|
3|69|60|
3|70|31|
3|71|32|
