OKRES|P_OKRSOK|P_ZAP|P_ZUC|P_OO|P_HL|DAT_AKT
106|5|3444|2387|2384|2357|01.10.2023 00:50:00
107|2|679|525|525|522|
108|4|1045|761|761|757|
201|30|15047|9122|9106|8982|
202|7|4329|2937|2937|2898|
203|5|1768|1260|1259|1249|
204|3|1233|874|873|867|
205|4|2160|1525|1525|1508|
206|6|2336|1552|1549|1533|
207|3|947|753|753|747|
301|23|5059|3914|3914|3869|
302|10|3188|2366|2365|2337|
303|8|2105|1556|1555|1533|
304|18|7988|5965|5962|5905|
305|13|6548|4376|4374|4339|
306|16|4613|3507|3505|3457|
307|35|17289|12154|12147|12024|
308|14|5044|3868|3862|3810|
309|21|9297|7152|7139|7038|
401|20|6334|3490|3488|3450|
402|61|20888|12914|12907|12719|
403|22|10343|7516|7513|7441|
404|15|7082|4386|4385|4340|
405|2|964|661|660|646|
406|18|4985|3733|3731|3679|
407|6|2603|1945|1943|1916|
501|7|3221|2416|2414|2387|
502|4|2045|1420|1420|1394|
503|9|4184|3223|3222|3194|
504|5|2615|1986|1986|1974|
505|18|3774|2841|2841|2809|
506|18|6739|5038|5032|4991|
507|2|896|672|672|669|
508|15|9614|7059|7056|6972|
509|16|3285|2305|2305|2269|
510|6|2455|1922|1922|1906|
511|25|12239|9247|9240|9147|
601|16|4714|3409|3404|3378|
602|6|1202|819|818|812|
603|12|5637|3799|3794|3738|
604|7|1265|938|938|924|
605|26|3755|2476|2474|2426|
606|42|12494|7018|7014|6924|
607|19|5926|3702|3700|3649|
608|25|5289|2909|2905|2845|
609|75|16525|8718|8712|8528|
610|24|4236|2596|2594|2565|
611|15|4901|3393|3393|3363|
612|11|3517|2422|2420|2381|
613|16|6187|4504|4501|4446|
701|61|18010|12515|12509|12376|
702|46|16614|10688|10682|10550|
703|22|9196|5944|5938|5840|
704|16|2460|1882|1882|1857|
705|22|3955|2506|2502|2464|
706|5|2485|1785|1785|1760|
707|32|11106|8066|8058|7970|
708|21|7519|5271|5269|5194|
709|21|4028|2609|2609|2571|
710|29|9509|6328|6328|6274|
711|26|4302|2913|2912|2878|
712|43|5982|4153|4152|4103|
713|35|9713|6687|6684|6606|
801|5|1507|946|946|931|
802|5|3982|2318|2317|2296|
803|1|989|651|648|641|
804|1|763|492|492|486|
805|4|3372|2097|2097|2079|
806|51|17729|11580|11568|11391|
807|37|17008|9257|9251|9113|
808|38|11483|6444|6440|6296|
809|29|6592|4388|4384|4326|
810|10|5822|3074|3072|3027|
811|44|17206|9653|9647|9498|
