OKRES|P_OKRSOK|P_ZAP|P_ZUC|P_OO|P_HL|DAT_AKT
106|2|866|592|590|585|01.10.2023 00:30:00
107|2|679|525|525|522|
108|2|248|180|180|180|
201|21|8889|5699|5685|5608|
202|4|2098|1365|1365|1339|
203|3|686|495|494|488|
204|3|1233|874|873|867|
205|2|693|475|475|470|
206|5|2095|1342|1339|1324|
207|2|779|585|585|581|
301|21|4394|3375|3375|3335|
302|8|2123|1587|1586|1570|
303|6|1586|1154|1153|1136|
304|16|5965|4442|4441|4393|
305|12|6209|4133|4131|4098|
306|14|4196|3182|3180|3134|
307|24|9700|6894|6888|6822|
308|13|4524|3490|3485|3436|
309|13|4279|3311|3310|3262|
401|16|3662|1954|1953|1931|
402|48|14650|9074|9069|8940|
403|17|7400|5396|5394|5337|
404|4|1271|668|668|666|
405|1|64|38|38|34|
406|18|4985|3733|3731|3679|
407|3|1022|798|798|792|
501|4|1375|997|997|982|
502|3|1548|1040|1040|1016|
503|5|1686|1289|1288|1275|
504|2|593|448|448|445|
505|15|2898|2205|2205|2180|
506|11|3699|2717|2717|2693|
507|1|309|203|203|203|
508|9|4460|3303|3302|3258|
509|12|1428|975|975|964|
510|4|1374|1065|1065|1055|
511|17|7447|5704|5701|5631|
601|14|3954|2957|2952|2927|
602|5|1042|692|691|685|
603|8|3545|2336|2332|2300|
604|7|1265|938|938|924|
605|23|3149|2070|2069|2026|
606|32|8829|5019|5016|4958|
607|16|4806|2940|2938|2891|
608|21|3730|2118|2117|2074|
609|65|13379|6991|6989|6831|
610|21|3595|2209|2207|2180|
611|8|1660|1151|1151|1137|
612|7|1559|1136|1136|1116|
613|12|4118|2983|2981|2941|
701|49|13045|9020|9017|8921|
702|37|10281|7032|7027|6945|
703|17|5930|3964|3959|3897|
704|16|2460|1882|1882|1857|
705|21|3627|2291|2287|2256|
706|4|2005|1413|1413|1393|
707|26|8249|6009|6001|5934|
708|18|5441|3819|3817|3766|
709|20|3121|2074|2074|2042|
710|23|5684|3766|3766|3732|
711|22|3555|2418|2417|2385|
712|39|4526|3143|3143|3103|
713|28|6709|4609|4607|4550|
801|3|423|322|322|317|
805|3|2574|1564|1564|1548|
806|41|12263|8293|8283|8180|
807|31|12398|6652|6650|6552|
808|28|7078|3997|3996|3902|
809|24|5205|3456|3452|3411|
810|5|1749|1128|1128|1105|
811|36|14098|7749|7744|7627|
