OKRES|P_OKRSOK|P_ZAP|P_ZUC|P_OO|P_HL|DAT_AKT
201|5|1522|962|962|948|30.09.2023 23:30:00
202|1|90|51|51|51|
203|1|102|73|73|72|
206|1|235|177|177|173|
301|6|637|504|504|498|
302|2|209|162|161|159|
303|1|159|127|127|125|
304|3|736|565|565|559|
305|1|100|77|77|76|
306|5|678|560|560|554|
307|1|417|316|316|314|
308|1|123|90|90|90|
309|5|1633|1294|1293|1273|
401|4|447|245|245|242|
402|12|2101|1312|1311|1289|
403|2|340|265|265|265|
404|1|193|75|75|75|
405|1|64|38|38|34|
406|3|684|517|516|508|
505|8|1237|890|890|880|
506|5|1064|786|786|779|
508|2|311|247|247|245|
509|2|147|117|117|117|
511|4|831|641|641|629|
601|2|227|159|159|158|
602|1|141|97|97|96|
603|1|233|120|119|119|
604|2|203|142|142|142|
605|11|1154|802|802|792|
606|9|1914|1178|1177|1160|
607|3|259|173|173|171|
608|12|1496|840|840|821|
609|36|6111|3222|3221|3142|
610|6|651|395|395|391|
611|3|318|232|232|224|
612|2|639|454|454|444|
613|1|233|179|179|175|
701|19|2443|1696|1695|1679|
702|17|2965|2087|2084|2057|
703|8|1076|774|774|766|
704|7|707|540|540|529|
705|9|1356|840|838|827|
707|10|2205|1664|1663|1642|
708|3|321|220|220|218|
709|9|944|656|656|645|
710|11|1333|945|945|936|
711|5|194|143|143|140|
712|20|1415|1029|1029|1016|
713|13|2099|1555|1554|1539|
801|1|147|104|104|102|
806|13|2350|1679|1679|1653|
807|7|1382|861|861|848|
808|6|460|256|256|250|
809|12|2286|1539|1535|1521|
811|6|1143|718|718|713|
