OKRES|P_OKRSOK|P_ZAP|P_ZUC|P_OO|P_HL|DAT_AKT
106|1|108|77|76|75|01.10.2023 00:20:00
107|1|355|280|280|279|
108|2|248|180|180|180|
201|16|6167|3990|3977|3924|
202|3|858|557|557|553|
203|3|686|495|494|488|
205|2|693|475|475|470|
206|4|1064|753|751|743|
207|1|418|324|324|321|
301|18|3563|2746|2746|2714|
302|7|1929|1442|1441|1425|
303|6|1586|1154|1153|1136|
304|13|4184|3114|3114|3076|
305|8|3712|2319|2317|2298|
306|10|2172|1722|1721|1694|
307|21|7679|5547|5545|5490|
308|8|2672|2068|2063|2040|
309|11|3512|2716|2715|2678|
401|13|2370|1303|1302|1283|
402|45|13676|8516|8513|8388|
403|10|3291|2424|2423|2397|
404|1|193|75|75|75|
405|1|64|38|38|34|
406|14|3826|2836|2835|2795|
407|2|843|656|656|650|
501|3|959|715|715|705|
502|2|983|638|638|632|
503|4|835|625|625|616|
504|1|280|202|202|202|
505|13|2534|1917|1917|1894|
506|10|2977|2181|2181|2160|
507|1|309|203|203|203|
508|8|3710|2716|2715|2680|
509|11|1289|870|870|861|
510|4|1374|1065|1065|1055|
511|14|6227|4734|4731|4671|
601|14|3954|2957|2952|2927|
602|3|417|270|270|268|
603|5|1373|946|944|928|
604|7|1265|938|938|924|
605|21|2651|1757|1757|1724|
606|31|8255|4770|4767|4710|
607|16|4806|2940|2938|2891|
608|20|3491|1999|1998|1958|
609|59|11272|5839|5838|5693|
610|19|3141|1923|1921|1903|
611|7|1526|1049|1049|1035|
612|7|1559|1136|1136|1116|
613|10|2900|2097|2095|2070|
701|43|9961|6916|6915|6835|
702|32|8153|5564|5559|5488|
703|15|3794|2744|2741|2710|
704|15|2326|1783|1783|1760|
705|19|3148|1980|1977|1947|
706|2|831|647|647|643|
707|23|6860|5057|5050|4995|
708|15|4167|3025|3023|2979|
709|20|3121|2074|2074|2042|
710|19|4109|2798|2798|2771|
711|22|3555|2418|2417|2385|
712|30|2709|1959|1959|1940|
713|24|5449|3771|3769|3724|
801|3|423|322|322|317|
806|33|9731|6662|6654|6569|
807|27|10143|5237|5236|5152|
808|21|4572|2621|2621|2570|
809|24|5205|3456|3452|3411|
810|2|540|352|352|350|
811|28|10168|5402|5400|5321|
