OKRES|PS|P_HL_PS|DAT_AKT
107|1|4|30.09.2023 23:50:00
107|3|49|
107|5|16|
107|6|1|
107|9|1|
107|11|4|
107|12|28|
107|13|5|
107|15|20|
107|16|60|
107|17|27|
107|21|3|
107|22|24|
107|23|22|
107|25|15|
108|3|22|
108|4|1|
108|5|12|
108|11|1|
108|12|10|
108|13|6|
108|15|18|
108|16|45|
108|17|25|
108|21|3|
108|22|9|
108|23|12|
108|25|16|
201|1|5|
201|3|225|
201|4|1|
201|5|142|
201|6|3|
201|7|18|
201|8|1|
201|9|55|
201|10|1|
201|12|65|
201|13|49|
201|14|1|
201|15|23|
201|16|331|
201|17|109|
201|18|1267|
201|19|2|
201|21|6|
201|22|18|
201|23|16|
201|25|30|
202|1|3|
202|3|73|
202|4|1|
202|5|57|
202|6|1|
202|7|1|
202|8|1|
202|9|1|
202|10|1|
202|12|28|
202|13|12|
202|15|19|
202|16|116|
202|17|74|
202|18|87|
202|21|6|
202|22|15|
202|23|28|
202|25|29|
203|1|1|
203|2|1|
203|3|62|
203|5|30|
203|12|17|
203|13|19|
203|14|1|
203|15|35|
203|16|157|
203|17|90|
203|21|9|
203|22|5|
203|23|22|
203|24|1|
203|25|38|
205|1|2|
205|3|64|
205|5|61|
205|6|3|
205|7|1|
205|10|2|
205|12|28|
205|13|21|
205|15|17|
205|16|90|
205|17|66|
205|19|1|
205|21|2|
205|22|23|
205|23|61|
205|24|1|
205|25|27|
206|1|3|
206|3|122|
206|4|4|
206|5|117|
206|6|3|
206|12|27|
206|13|23|
206|15|47|
206|16|142|
206|17|116|
206|19|1|
206|21|12|
206|22|27|
206|23|55|
206|25|44|
301|1|2|
301|2|1|
301|3|179|
301|4|3|
301|5|106|
301|6|15|
301|7|1|
301|8|2|
301|12|71|
301|13|33|
301|15|132|
301|16|654|
301|17|360|
301|19|2|
301|20|1|
301|21|18|
301|22|43|
301|23|100|
301|24|1|
301|25|113|
302|1|6|
302|2|1|
302|3|76|
302|4|2|
302|5|39|
302|6|3|
302|8|1|
302|11|1|
302|12|30|
302|13|10|
302|15|41|
302|16|230|
302|17|95|
302|21|4|
302|22|12|
302|23|19|
302|24|1|
302|25|19|
303|1|1|
303|3|95|
303|4|1|
303|5|29|
303|6|3|
303|8|3|
303|12|21|
303|13|11|
303|14|1|
303|15|37|
303|16|140|
303|17|96|
303|21|3|
303|22|9|
303|23|11|
303|24|3|
303|25|21|
304|1|4|
304|2|1|
304|3|355|
304|4|2|
304|5|156|
304|6|13|
304|7|1|
304|9|2|
304|10|2|
304|11|1|
304|12|152|
304|13|49|
304|14|2|
304|15|178|
304|16|573|
304|17|413|
304|18|2|
304|21|31|
304|22|56|
304|23|137|
304|24|2|
304|25|146|
305|1|6|
305|3|129|
305|4|1|
305|5|63|
305|6|5|
305|8|2|
305|9|2|
305|10|1|
305|12|32|
305|13|24|
305|14|1|
305|15|79|
305|16|444|
305|17|185|
305|18|1|
305|21|18|
305|22|33|
305|23|77|
305|25|67|
306|1|4|
306|3|120|
306|4|2|
306|5|42|
306|6|2|
306|12|33|
306|13|25|
306|15|112|
306|16|388|
306|17|170|
306|18|2|
306|21|15|
306|22|13|
306|23|36|
306|25|51|
307|1|14|
307|3|624|
307|4|3|
307|5|224|
307|6|23|
307|7|2|
307|8|4|
307|9|11|
307|10|1|
307|12|187|
307|13|80|
307|14|5|
307|15|260|
307|16|1143|
307|17|660|
307|18|1|
307|19|6|
307|20|2|
307|21|53|
307|22|135|
307|23|125|
307|24|3|
307|25|257|
308|1|2|
308|3|48|
308|5|22|
308|6|1|
308|12|16|
308|13|13|
308|14|3|
308|15|31|
308|16|193|
308|17|100|
308|21|12|
308|22|7|
308|23|19|
308|24|1|
308|25|29|
309|1|11|
309|2|1|
309|3|457|
309|4|2|
309|5|213|
309|6|9|
309|8|1|
309|9|5|
309|10|2|
309|12|141|
309|13|73|
309|14|1|
309|15|145|
309|16|536|
309|17|459|
309|18|1|
309|19|2|
309|21|13|
309|22|82|
309|23|239|
309|24|3|
309|25|146|
401|1|2|
401|3|68|
401|5|56|
401|6|1|
401|7|6|
401|9|2|
401|12|8|
401|13|13|
401|14|2|
401|15|21|
401|16|177|
401|17|82|
401|18|395|
401|19|1|
401|22|10|
401|23|3|
401|25|24|
402|1|18|
402|2|1|
402|3|464|
402|4|3|
402|5|434|
402|6|16|
402|7|28|
402|8|1|
402|9|28|
402|10|1|
402|11|3|
402|12|121|
402|13|128|
402|14|6|
402|15|128|
402|16|984|
402|17|616|
402|18|937|
402|19|7|
402|20|2|
402|21|67|
402|22|81|
402|23|113|
402|24|4|
402|25|192|
403|1|2|
403|3|161|
403|5|104|
403|6|2|
403|7|1|
403|9|2|
403|12|60|
403|13|32|
403|14|2|
403|15|67|
403|16|285|
403|17|171|
403|18|77|
403|21|7|
403|22|26|
403|23|34|
403|25|62|
404|1|2|
404|3|7|
404|5|22|
404|12|1|
404|13|2|
404|16|16|
404|17|10|
404|18|8|
404|21|1|
404|25|6|
405|1|2|
405|3|7|
405|15|2|
405|16|13|
405|17|6|
405|23|1|
405|25|3|
406|1|6|
406|3|223|
406|5|119|
406|6|3|
406|8|1|
406|9|2|
406|11|1|
406|12|85|
406|13|52|
406|15|153|
406|16|815|
406|17|326|
406|18|1|
406|19|1|
406|21|23|
406|22|57|
406|23|153|
406|24|1|
406|25|87|
407|1|3|
407|3|69|
407|5|30|
407|6|2|
407|9|1|
407|12|28|
407|13|14|
407|14|1|
407|15|70|
407|16|224|
407|17|117|
407|19|1|
407|20|1|
407|21|5|
407|22|3|
407|23|33|
407|24|1|
407|25|47|
501|1|4|
501|3|38|
501|5|15|
501|9|1|
501|12|14|
501|13|9|
501|15|18|
501|16|97|
501|17|61|
501|21|1|
501|22|10|
501|23|9|
501|25|18|
502|2|1|
502|3|60|
502|4|1|
502|5|25|
502|6|1|
502|11|1|
502|12|21|
502|13|7|
502|15|52|
502|16|229|
502|17|158|
502|20|1|
502|21|3|
502|22|5|
502|23|37|
502|25|30|
503|1|2|
503|3|105|
503|5|50|
503|6|4|
503|8|1|
503|12|30|
503|13|15|
503|14|1|
503|15|32|
503|16|128|
503|17|122|
503|21|5|
503|22|24|
503|23|65|
503|24|1|
503|25|31|
504|3|37|
504|5|20|
504|6|3|
504|12|12|
504|13|1|
504|15|16|
504|16|53|
504|17|38|
504|21|2|
504|22|3|
504|23|3|
504|25|14|
505|1|4|
505|2|1|
505|3|267|
505|5|120|
505|6|9|
505|9|3|
505|11|2|
505|12|95|
505|13|55|
505|14|3|
505|15|161|
505|16|404|
505|17|372|
505|18|2|
505|19|1|
505|21|22|
505|22|62|
505|23|168|
505|24|1|
505|25|142|
506|1|6|
506|3|210|
506|4|2|
506|5|52|
506|6|2|
506|9|2|
506|12|76|
506|13|42|
506|14|1|
506|15|127|
506|16|286|
506|17|182|
506|19|1|
506|21|11|
506|22|28|
506|23|36|
506|24|1|
506|25|69|
508|1|4|
508|3|120|
508|5|70|
508|6|8|
508|7|1|
508|8|1|
508|10|1|
508|12|50|
508|13|24|
508|15|79|
508|16|178|
508|17|175|
508|18|1|
508|20|1|
508|21|8|
508|22|24|
508|23|51|
508|25|73|
509|1|2|
509|2|1|
509|3|88|
509|5|29|
509|6|3|
509|7|1|
509|12|24|
509|13|19|
509|15|61|
509|16|167|
509|17|131|
509|19|1|
509|21|4|
509|22|16|
509|23|25|
509|24|2|
509|25|53|
510|1|1|
510|3|113|
510|5|67|
510|6|2|
510|8|3|
510|9|1|
510|11|1|
510|12|41|
510|13|16|
510|15|94|
510|16|174|
510|17|102|
510|18|1|
510|19|1|
510|21|3|
510|22|29|
510|23|192|
510|25|41|
511|1|9|
511|3|604|
511|4|8|
511|5|178|
511|6|12|
511|8|5|
511|12|220|
511|13|57|
511|15|220|
511|16|1018|
511|17|585|
511|19|1|
511|21|24|
511|22|77|
511|23|177|
511|24|1|
511|25|208|
601|1|8|
601|2|1|
601|3|407|
601|4|4|
601|5|92|
601|6|6|
601|7|3|
601|8|3|
601|9|1|
601|12|152|
601|13|55|
601|15|155|
601|16|523|
601|17|589|
601|19|2|
601|20|2|
601|21|40|
601|22|52|
601|23|111|
601|24|1|
601|25|96|
602|2|1|
602|3|28|
602|5|16|
602|6|1|
602|7|1|
602|12|11|
602|13|13|
602|15|25|
602|16|81|
602|17|57|
602|18|1|
602|21|7|
602|22|2|
602|23|8|
602|24|1|
602|25|15|
603|1|3|
603|2|2|
603|3|97|
603|4|1|
603|5|38|
603|6|10|
603|10|1|
603|11|1|
603|12|41|
603|13|44|
603|15|88|
603|16|230|
603|17|235|
603|19|8|
603|21|4|
603|22|20|
603|23|51|
603|25|54|
604|1|2|
604|2|1|
604|3|88|
604|4|3|
604|5|45|
604|6|8|
604|9|1|
604|12|36|
604|13|28|
604|14|2|
604|15|111|
604|16|268|
604|17|164|
604|19|1|
604|21|8|
604|22|21|
604|23|59|
604|24|1|
604|25|77|
605|1|15|
605|2|2|
605|3|168|
605|4|2|
605|5|81|
605|6|6|
605|8|1|
605|9|5|
605|10|3|
605|12|48|
605|13|51|
605|14|2|
605|15|149|
605|16|389|
605|17|327|
605|18|2|
605|19|8|
605|21|30|
605|22|45|
605|23|123|
605|24|1|
605|25|120|
606|1|30|
606|2|8|
606|3|469|
606|4|2|
606|5|481|
606|6|16|
606|7|20|
606|8|2|
606|9|40|
606|10|2|
606|11|3|
606|12|159|
606|13|140|
606|14|2|
606|15|210|
606|16|1002|
606|17|791|
606|18|322|
606|20|3|
606|21|39|
606|22|73|
606|23|113|
606|24|4|
606|25|244|
607|1|6|
607|2|1|
607|3|164|
607|4|1|
607|5|125|
607|6|11|
607|7|2|
607|8|2|
607|9|2|
607|12|40|
607|13|48|
607|14|1|
607|15|132|
607|16|582|
607|17|423|
607|18|3|
607|19|4|
607|21|55|
607|22|22|
607|23|60|
607|24|1|
607|25|135|
608|1|15|
608|3|96|
608|5|122|
608|6|7|
608|7|10|
608|9|2|
608|12|29|
608|13|59|
608|15|38|
608|16|247|
608|17|187|
608|18|214|
608|20|1|
608|21|38|
608|22|7|
608|23|33|
608|25|61|
609|1|66|
609|2|14|
609|3|314|
609|4|9|
609|5|407|
609|6|16|
609|7|42|
609|8|4|
609|9|22|
609|10|3|
609|11|5|
609|12|171|
609|13|240|
609|14|7|
609|15|174|
609|16|890|
609|17|790|
609|18|1042|
609|19|5|
609|20|1|
609|21|76|
609|22|61|
609|23|48|
609|24|4|
609|25|282|
610|1|7|
610|2|2|
610|3|107|
610|4|3|
610|5|102|
610|6|4|
610|7|3|
610|8|1|
610|9|7|
610|10|1|
610|11|2|
610|12|38|
610|13|35|
610|15|68|
610|16|295|
610|17|289|
610|18|129|
610|19|29|
610|21|24|
610|22|17|
610|23|24|
610|24|1|
610|25|66|
611|3|37|
611|5|16|
611|6|11|
611|12|23|
611|13|15|
611|14|1|
611|15|57|
611|16|119|
611|17|84|
611|21|6|
611|22|8|
611|23|10|
611|24|1|
611|25|43|
612|1|3|
612|3|87|
612|5|37|
612|6|4|
612|8|2|
612|12|20|
612|13|11|
612|14|6|
612|15|38|
612|16|207|
612|17|140|
612|21|15|
612|22|15|
612|23|28|
612|25|59|
613|1|1|
613|3|54|
613|5|29|
613|6|6|
613|12|10|
613|13|11|
613|15|42|
613|16|122|
613|17|104|
613|21|6|
613|22|3|
613|23|10|
613|25|28|
701|1|19|
701|2|7|
701|3|345|
701|4|1|
701|5|541|
701|6|11|
701|7|8|
701|8|2|
701|9|9|
701|10|2|
701|11|1|
701|12|130|
701|13|128|
701|14|3|
701|15|268|
701|16|1266|
701|17|1025|
701|18|5|
701|19|5|
701|20|1|
701|21|32|
701|22|112|
701|23|605|
701|24|3|
701|25|221|
702|1|10|
702|2|4|
702|3|281|
702|4|5|
702|5|243|
702|6|10|
702|7|2|
702|8|1|
702|9|5|
702|10|3|
702|11|6|
702|12|142|
702|13|107|
702|14|6|
702|15|260|
702|16|1290|
702|17|870|
702|18|1|
702|19|6|
702|20|6|
702|21|26|
702|22|106|
702|23|673|
702|24|7|
702|25|219|
703|1|3|
703|3|178|
703|4|1|
703|5|140|
703|6|4|
703|7|2|
703|8|1|
703|9|1|
703|11|2|
703|12|61|
703|13|46|
703|15|141|
703|16|341|
703|17|204|
703|18|3|
703|21|9|
703|22|55|
703|23|414|
703|24|2|
703|25|128|
704|1|3|
704|3|58|
704|4|2|
704|5|34|
704|6|1|
704|12|35|
704|13|32|
704|14|1|
704|15|53|
704|16|192|
704|17|134|
704|21|10|
704|22|21|
704|23|265|
704|25|82|
705|1|6|
705|2|9|
705|3|116|
705|4|4|
705|5|134|
705|6|4|
705|7|1|
705|8|5|
705|9|5|
705|11|1|
705|12|48|
705|13|66|
705|14|2|
705|15|135|
705|16|560|
705|17|418|
705|18|1|
705|19|2|
705|21|20|
705|22|29|
705|23|117|
705|24|1|
705|25|71|
706|1|1|
706|3|56|
706|5|13|
706|6|5|
706|9|2|
706|12|20|
706|13|7|
706|14|1|
706|15|21|
706|16|49|
706|17|35|
706|18|1|
706|21|1|
706|22|6|
706|23|39|
706|25|13|
707|1|4|
707|2|3|
707|3|303|
707|4|3|
707|5|418|
707|6|9|
707|7|1|
707|8|3|
707|9|8|
707|10|1|
707|11|1|
707|12|104|
707|13|107|
707|15|146|
707|16|546|
707|17|637|
707|18|5|
707|20|1|
707|21|22|
707|22|87|
707|23|599|
707|24|2|
707|25|159|
708|1|3|
708|2|1|
708|3|116|
708|4|1|
708|5|95|
708|6|8|
708|8|1|
708|10|1|
708|12|59|
708|13|46|
708|14|2|
708|15|137|
708|16|364|
708|17|374|
708|18|1|
708|19|1|
708|21|4|
708|22|36|
708|23|297|
708|24|1|
708|25|106|
709|1|4|
709|2|4|
709|3|65|
709|4|1|
709|5|46|
709|6|10|
709|7|8|
709|8|1|
709|9|5|
709|10|2|
709|12|33|
709|13|22|
709|14|2|
709|15|101|
709|16|514|
709|17|305|
709|19|1|
709|21|10|
709|22|20|
709|23|80|
709|25|52|
710|1|3|
710|3|105|
710|5|101|
710|6|5|
710|7|3|
710|10|1|
710|11|2|
710|12|48|
710|13|35|
710|14|2|
710|15|123|
710|16|494|
710|17|263|
710|18|2|
710|21|12|
710|22|25|
710|23|264|
710|25|103|
711|1|3|
711|2|12|
711|3|92|
711|4|7|
711|5|192|
711|6|12|
711|7|3|
711|9|1|
711|10|1|
711|12|48|
711|13|63|
711|14|2|
711|15|135|
711|16|577|
711|17|404|
711|18|3|
711|19|2|
711|20|1|
711|21|21|
711|22|21|
711|23|223|
711|24|1|
711|25|89|
712|1|8|
712|2|7|
712|3|124|
712|4|3|
712|5|160|
712|6|12|
712|9|2|
712|10|2|
712|11|3|
712|12|62|
712|13|59|
712|14|2|
712|15|136|
712|16|578|
712|17|413|
712|19|4|
712|20|1|
712|21|17|
712|22|34|
712|23|125|
712|25|97|
713|1|8|
713|2|4|
713|3|178|
713|4|1|
713|5|151|
713|6|15|
713|8|1|
713|9|11|
713|12|78|
713|13|70|
713|14|3|
713|15|233|
713|16|866|
713|17|594|
713|19|1|
713|20|2|
713|21|15|
713|22|66|
713|23|297|
713|25|188|
801|1|1|
801|3|15|
801|5|9|
801|7|1|
801|11|1|
801|12|7|
801|13|5|
801|15|7|
801|16|18|
801|17|18|
801|22|4|
801|23|11|
801|25|5|
806|1|13|
806|2|4|
806|3|644|
806|4|8|
806|5|738|
806|6|19|
806|7|19|
806|9|8|
806|10|4|
806|11|6|
806|12|240|
806|13|144|
806|14|5|
806|15|207|
806|16|901|
806|17|735|
806|18|288|
806|19|2|
806|20|1|
806|21|39|
806|22|149|
806|23|309|
806|24|7|
806|25|263|
807|1|26|
807|2|7|
807|3|185|
807|4|3|
807|5|882|
807|6|26|
807|7|14|
807|8|5|
807|9|28|
807|10|4|
807|11|3|
807|12|107|
807|13|97|
807|14|2|
807|15|157|
807|16|939|
807|17|571|
807|18|280|
807|19|4|
807|20|1|
807|21|41|
807|22|84|
807|23|230|
807|24|1|
807|25|178|
808|1|21|
808|2|8|
808|3|147|
808|4|4|
808|5|182|
808|6|6|
808|7|4|
808|9|4|
808|11|3|
808|12|41|
808|13|36|
808|15|60|
808|16|261|
808|17|266|
808|18|273|
808|19|3|
808|21|27|
808|22|16|
808|23|16|
808|24|4|
808|25|88|
809|1|4|
809|2|2|
809|3|156|
809|4|2|
809|5|174|
809|6|2|
809|8|1|
809|9|6|
809|10|4|
809|12|63|
809|13|101|
809|14|5|
809|15|167|
809|16|906|
809|17|620|
809|18|3|
809|19|1|
809|21|17|
809|22|43|
809|23|176|
809|24|3|
809|25|132|
810|1|1|
810|2|1|
810|3|28|
810|5|24|
810|12|12|
810|13|10|
810|15|17|
810|16|101|
810|17|62|
810|21|11|
810|22|7|
810|23|34|
810|25|42|
811|1|18|
811|2|30|
811|3|193|
811|4|5|
811|5|345|
811|6|27|
811|7|5|
811|8|1|
811|9|9|
811|10|4|
811|12|55|
811|13|89|
811|14|2|
811|15|85|
811|16|655|
811|17|497|
811|18|823|
811|19|5|
811|21|16|
811|22|69|
811|23|145|
811|25|120|
