OKRES|P_OKRSOK|P_ZAP|P_ZUC|P_OO|P_HL|DAT_AKT
101|5|4901|3884|3865|3849|01.10.2023 02:30:00
102|24|20832|15563|15379|15258|
103|15|12185|8507|8503|8443|
104|23|20464|15444|15425|15301|
105|17|15328|11230|11144|11057|
106|31|28769|20687|20666|20461|
107|14|11404|8770|8765|8681|
108|24|19713|14168|14150|13966|
201|87|61511|37179|37130|36605|
202|30|24189|15889|15868|15668|
203|22|13980|10244|10235|10134|
204|24|15534|11122|11118|11008|
205|21|15657|10517|10509|10387|
206|20|13827|9292|9281|9158|
207|33|24808|17499|17478|17255|
301|50|19284|14179|14175|14008|
302|35|21294|15965|15949|15773|
303|24|13535|9435|9425|9318|
304|42|26707|19134|19121|18891|
305|41|26813|18922|18915|18710|
306|38|17599|13405|13393|13226|
307|103|75772|53330|53300|52789|
308|31|16846|12213|12197|12017|
309|61|40199|29984|29956|29603|
401|68|44221|25113|25103|24768|
402|139|72339|46381|46342|45713|
403|72|45349|33063|33043|32666|
404|48|31551|20905|20890|20640|
405|24|21563|13193|13177|13008|
406|47|23461|17356|17346|17147|
407|17|8731|6539|6536|6467|
501|19|12351|9274|9271|9160|
502|21|15477|11086|11076|10931|
503|20|11003|8297|8291|8221|
504|14|10932|8343|8332|8244|
505|62|32245|23021|23005|22721|
506|63|39081|28472|28443|28104|
507|22|19496|14359|14341|14158|
508|47|35121|25414|25392|25141|
509|25|8551|6118|6117|6041|
510|12|8498|6283|6283|6229|
511|89|62314|47118|47036|46565|
601|66|36834|26813|26798|26521|
602|13|5349|3568|3567|3529|
603|26|16077|10185|10179|10045|
604|30|14731|10365|10361|10241|
605|34|8038|5314|5306|5219|
606|88|47075|25672|25655|25289|
607|33|14854|9411|9402|9274|
608|44|12994|6925|6914|6764|
609|119|40089|21474|21457|21066|
610|62|19448|11648|11642|11477|
611|44|25263|17567|17550|17401|
612|25|12995|9072|9065|8931|
613|35|18431|12479|12474|12319|
701|107|49592|34219|34199|33796|
702|84|44600|28918|28889|28569|
703|64|48356|30926|30889|30409|
704|38|15445|10598|10589|10455|
705|30|8851|5415|5410|5336|
706|61|51375|34435|34391|33934|
707|113|78209|55314|55262|54531|
708|50|30894|21430|21413|21110|
709|47|26474|16779|16774|16566|
710|54|30212|20247|20237|20016|
711|52|15507|10194|10184|10060|
712|77|23842|15738|15715|15531|
713|73|41427|27656|27637|27289|
801|15|7305|4581|4576|4505|
802|21|17834|10960|10948|10848|
803|15|13342|9018|9012|8931|
804|7|6710|3985|3982|3951|
805|23|20523|13046|13021|12895|
806|131|81731|51990|51918|51020|
807|99|57250|33272|33250|32830|
808|84|41590|23568|23547|23149|
809|49|15286|9820|9790|9641|
810|37|27741|17090|17059|16817|
811|108|62847|35239|35224|34650|
