OKRES|P_OKRSOK|P_ZAP|P_ZUC|P_OO|P_HL|DAT_AKT
107|1|355|280|280|279|30.09.2023 23:40:00
108|1|89|66|66|66|
201|6|2156|1295|1293|1277|
202|2|368|192|192|192|
203|3|686|495|494|488|
205|1|331|184|184|182|
206|2|358|261|261|257|
301|9|1268|983|983|971|
302|2|209|162|161|159|
303|3|672|492|492|485|
304|7|2569|1894|1894|1868|
305|2|498|366|366|362|
306|8|1307|1027|1027|1015|
307|5|1688|1227|1226|1217|
308|3|421|305|305|304|
309|7|2365|1876|1875|1853|
401|7|1186|690|690|674|
402|23|5414|3296|3295|3230|
403|2|340|265|265|265|
404|1|193|75|75|75|
405|1|64|38|38|34|
406|7|1795|1315|1314|1300|
501|2|394|303|303|295|
503|2|342|260|260|256|
504|1|280|202|202|202|
505|11|2013|1508|1508|1488|
506|6|1204|894|894|885|
508|2|311|247|247|245|
509|6|452|350|350|346|
511|7|2371|1815|1815|1789|
601|6|1497|1070|1070|1057|
602|2|286|195|195|193|
603|5|1373|946|944|928|
604|5|694|495|495|488|
605|14|1586|1108|1108|1091|
606|19|4677|2761|2760|2725|
607|6|1068|746|746|733|
608|16|1964|1136|1136|1111|
609|44|7586|3969|3968|3866|
610|11|1262|823|823|816|
611|3|318|232|232|224|
612|4|854|612|612|601|
613|1|233|179|179|175|
701|26|4378|3134|3133|3095|
702|23|5346|3703|3698|3650|
703|10|1717|1301|1299|1287|
704|8|809|623|623|612|
705|13|2011|1219|1216|1196|
707|12|2748|2026|2025|1999|
708|7|1616|1196|1195|1178|
709|12|1558|1030|1030|1011|
710|13|1907|1395|1395|1381|
711|11|1042|707|707|695|
712|25|2009|1460|1460|1445|
713|16|3014|2222|2221|2189|
801|1|147|104|104|102|
806|20|4703|3275|3273|3234|
807|13|3386|2035|2035|2004|
808|9|1434|715|715|702|
809|14|2698|1791|1787|1772|
810|1|299|198|198|196|
811|15|3454|2041|2040|2021|
