OKRES|P_OKRSOK|P_ZAP|P_ZUC|P_OO|P_HL|DAT_AKT
101|16|17553|13092|13066|13011|01.10.2023 03:40:00
102|52|48046|35013|34807|34532|
103|29|23255|17015|17005|16871|
104|53|47509|35436|35393|35123|
105|41|37117|27402|27268|27081|
106|54|55869|39656|39613|39206|
107|34|31188|23675|23644|23419|
108|50|47095|35791|35733|35372|
201|124|99560|60212|60132|59341|
202|68|62046|40805|40746|40252|
203|40|30396|21774|21746|21530|
204|49|37173|26655|26640|26382|
205|48|44165|29602|29575|29206|
206|39|33198|22057|22036|21734|
207|89|80951|59318|59229|58610|
301|62|28982|21151|21141|20901|
302|60|46424|34235|34148|33774|
303|32|21582|15178|15165|15008|
304|67|49900|35923|35892|35485|
305|50|35862|25443|25433|25136|
306|69|46823|34762|34739|34299|
307|134|106342|74432|74375|73607|
308|53|35898|26769|26742|26374|
309|111|87154|64699|64617|63926|
401|106|79808|44928|44901|44310|
402|161|88998|56483|56436|55682|
403|159|127984|91983|91916|90886|
404|90|66805|44022|43980|43421|
405|42|41134|26151|26122|25824|
406|79|48019|34930|34913|34502|
407|45|32824|24140|24130|23867|
501|34|25037|18592|18579|18353|
502|61|55071|38845|38789|38284|
503|43|30771|22276|22250|22045|
504|28|26179|19635|19611|19390|
505|96|60519|42970|42937|42453|
506|105|74676|54237|54183|53602|
507|48|44652|32365|32314|31801|
508|58|44938|32377|32347|32025|
509|32|13358|9804|9800|9688|
510|29|24996|18861|18853|18645|
511|155|124460|92996|92862|91885|
601|114|74534|53716|53689|53091|
602|22|11956|8248|8235|8111|
603|66|48267|31693|31668|31217|
604|43|24764|17507|17501|17321|
605|44|17213|11760|11746|11582|
606|97|55612|31056|31034|30606|
607|36|16658|10508|10499|10353|
608|66|29720|15740|15710|15400|
609|151|62042|33132|33109|32463|
610|83|33591|20294|20283|20003|
611|74|52433|36673|36647|36326|
612|35|20735|14508|14498|14291|
613|55|35240|24527|24506|24199|
701|116|58308|39693|39671|39218|
702|87|47476|30653|30624|30288|
703|68|53635|34294|34251|33707|
704|45|23500|15167|15145|14939|
705|30|8851|5415|5410|5336|
706|93|82982|56416|56349|55629|
707|169|130641|90673|90580|89376|
708|63|43839|30155|30127|29703|
709|48|28061|17472|17465|17246|
710|62|39279|25447|25435|25136|
711|52|15507|10194|10184|10060|
712|78|24824|16350|16327|16133|
713|93|60404|39731|39695|39151|
801|31|21892|13184|13159|12953|
802|53|45875|29890|29856|29603|
803|53|54377|33805|33774|33453|
804|22|22865|14006|13981|13892|
805|51|46194|30284|30246|29948|
806|149|99663|63488|63399|62255|
807|131|84325|48329|48292|47677|
808|88|46301|26008|25983|25547|
809|52|17345|11196|11165|11005|
810|82|72918|44930|44852|44142|
811|128|79888|44317|44288|43484|
