id,median,lo,hi,in,seats
1,20.0,16,25,0.999,21
2,16.0,0,19,0.921,17
3,26.0,21,32,1.0,28
4,0.0,0,0,0.0,0
5,29.0,23,35,1.0,30
6,0.0,0,0,0.0,0
7,0.0,0,0,0.0,0
8,0.0,0,0,0.0,0
9,0.0,0,0,0.0,0
10,0.0,0,0,0.0,0
11,0.0,0,0,0.0,0
12,0.0,0,15,0.227,0
13,0.0,0,15,0.283,0
14,0.0,0,0,0.0,0
15,0.0,0,0,0.0,0
16,33.0,26,39,1.0,34
17,20.0,16,24,0.999,20
18,0.0,0,0,0.0,0
19,0.0,0,0,0.0,0
20,0.0,0,0,0.0,0
21,0.0,0,0,0.0,0
22,0.0,0,0,0.0,0
23,0.0,0,0,0.0,0
24,0.0,0,0,0.0,0
25,0.0,0,0,0.0,0
