percentage,id
0.32,1
0.06,2
16.47,3
0.08,4
9.13,5
0.34,6
0.11,7
0.04,8
0.25,9
0.04,10
0.04,11
5.96,12
2.27,13
0.09,14
5.72,15
23.52,16
15.18,17
4.49,18
0.07,19
0.02,20
0.86,21
2.88,22
6.97,23
0.08,24
4.87,25
