percentage,id
0.32,1
0.06,2
15.68,3
0.08,4
9.36,5
0.35,6
0.12,7
0.04,8
0.25,9
0.04,10
0.04,11
5.64,12
2.31,13
0.09,14
5.80,15
23.69,16
15.43,17
4.60,18
0.07,19
0.02,20
0.88,21
2.81,22
7.14,23
0.08,24
4.96,25
