percentage,id
0.34,1
0.07,2
14.56,3
0.08,4
9.74,5
0.36,6
0.13,7
0.04,8
0.27,9
0.04,10
0.04,11
5.23,12
2.36,13
0.09,14
5.74,15
23.77,16
15.66,17
5.20,18
0.07,19
0.02,20
0.88,21
2.69,22
7.36,23
0.07,24
5.05,25
