,code,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,101,50.46174332860008,11.328146461522465,11796.719792430897,6.178988979012254,1180.1868949913408,22.65629292304493,21.626461426542892,1.0298314965020423,104.0129811467063,14.417640951028593,5.149157482510211,4314.993970343558,302.7704599716005,16.477303944032677,888.7445814812626,4200.682674231831,1919.605909479807,147.26590399979207,12.357977958024508,3.089494489506127,98.86382366419606,1262.5734147115043,1549.896402235574,10.298314965020422,501.52793879649465
1,102,188.23759398858402,17.679774021027228,23348.74156153425,39.519494870531446,4059.068117886428,89.43885681225538,69.67910937698966,13.519827192550231,273.5165039723624,43.67944169900845,13.519827192550231,9609.477173781857,1010.8670793199096,51.99933535596243,2728.925119480908,12434.081070317738,6561.276135215339,593.8324097650909,45.759415113246945,18.719760728146476,309.9160387215361,2908.8428198125384,3236.4386325551022,45.759415113246945,1891.7358202499136
2,103,75.09609390677305,15.430704227419117,14942.065260217514,23.660413148709317,2098.575774929,63.78024413999902,17.488131457741666,8.229708921290197,127.56048827999804,17.488131457741666,10.287136151612748,6096.156883445713,496.8686761228956,53.49310798838627,1783.78940868965,7136.186348373761,3827.8433620151027,152.24961504386863,25.717840379031863,6.1722816909676474,232.48927702644806,1948.3835871154536,1993.64698618255,40.1198309912897,1014.3116245490165
3,104,165.60660328779807,15.33394474887019,20466.727187808676,27.601100547966343,3026.9206934269764,107.33761324209134,35.779204414030445,17.378470715386214,173.78470715386217,24.534311598192303,13.289418782354167,8399.93493343109,995.6841456933043,68.49161987828684,2644.594337688479,10583.488665670206,5937.303406762538,172.76244417060417,49.06862319638461,13.289418782354167,356.76978115704645,3036.121060276298,3215.0170823464496,48.0463602131266,1714.3350229236873
4,105,222.00858310976258,15.782600695006817,21480.119545904276,44.19128194601909,4260.250014272173,119.94776528205182,45.243455325686206,22.095640973009544,222.00858310976258,19.9912942136753,19.9912942136753,8947.6824206892,1241.5645880072032,57.86953588169166,3075.5027887669958,13127.96725810667,7229.48329169279,362.99981598515683,62.07822940036015,10.52173379667121,397.7215375141717,3270.1548640054125,3326.9722265074374,64.1825761596944,2129.5989204462535
5,106,175,10,9540,41,3690,145,15,17,60,25,19,3698,1223,79,2091,10552,6267,26,27,16,418,1645,1961,46,2261
6,107,121,14,10479,39,2808,184,16,32,67,37,21,3816,804,45,2227,8634,4995,21,45,9,282,1713,2148,53,1614
7,108,145,20,16177,32,4530,113,100,21,198,16,35,6836,1321,58,2420,10231,6285,2323,29,9,296,2569,2887,36,1968
8,201,178,16,8261,33,4756,65,557,25,1119,13,7,2041,874,15,846,8282,3689,28921,24,10,170,743,674,17,1029
9,202,162,26,7126,56,5225,215,152,12,291,23,18,2439,1165,51,1923,10647,5823,10331,30,12,393,1110,1408,46,2049
10,203,60,7,3976,26,1787,215,8,10,31,4,29,1270,564,19,1684,7495,3970,18,19,6,284,908,1497,31,1439
11,204,87,9,7417,41,2661,132,7,22,29,14,16,2291,737,92,2068,9606,5014,22,22,13,412,1351,2196,98,1843
12,205,119,12,5934,27,3048,235,11,36,41,21,13,1882,1108,39,1733,8277,4869,21,28,12,387,951,1902,49,1989
13,206,89,7,5172,30,2930,133,12,19,27,16,5,1559,767,18,1466,5064,3384,9,13,11,281,942,1686,23,1330
14,207,179,21,15033,45,8729,249,34,83,71,31,42,5139,1598,84,4035,18868,10799,28,52,23,592,3060,4792,64,3906
15,301,53,6,2922,19,1287,111,12,34,17,12,14,988,448,19,1442,6739,3754,5,17,6,228,418,1197,16,1137
16,302,96,5,4925,25,1742,125,15,5,86,24,16,1842,605,72,2852,10834,5584,19,20,8,380,854,1894,57,1689
17,303,42,10,3203,9,944,84,10,27,23,11,10,1079,424,21,889,3722,2844,6,16,2,146,366,295,64,761
18,304,134,14,6329,29,2604,188,12,13,32,35,18,2217,990,45,2092,9522,5873,10,31,13,454,986,1739,78,2027
19,305,82,11,3425,16,1416,96,7,18,21,11,8,1226,558,31,1801,8179,4028,2,17,6,284,700,1760,26,1407
20,306,104,7,5371,43,1694,104,5,7,44,16,17,1728,732,42,3011,12131,5672,12,28,12,332,896,1979,24,1999
21,307,221,19,11838,48,4406,453,15,74,83,36,47,3890,1677,61,5733,22474,12370,13,62,16,820,2254,3130,71,4628
22,308,73,11,3728,14,1464,96,4,5,31,8,20,1361,531,33,2074,8667,4285,4,16,6,276,678,1530,30,1429
23,309,191,25,13943,57,4312,286,20,27,126,40,31,4547,1495,65,4483,16396,10518,33,48,19,641,2357,4714,83,3194
24,401,153,19,4793,31,3421,83,252,15,254,19,9,1057,500,25,739,6441,3457,22255,30,2,169,436,412,26,1016
25,402,197,31,8349,34,5189,212,151,11,244,28,52,2561,1401,41,2210,12424,8360,7566,67,17,685,1307,2266,42,2678
26,403,233,21,17275,53,6378,215,60,28,206,46,64,6369,1963,118,4823,26245,15501,1709,80,15,737,2811,5090,67,4719
27,404,201,29,9608,53,5686,160,193,13,409,22,27,2824,1378,46,2636,16515,10432,13647,59,15,482,1171,2268,36,3110
28,405,94,8,4238,26,2405,95,76,4,92,10,8,1511,559,22,783,5470,3177,4722,12,4,148,581,674,24,1081
29,406,112,12,4774,24,2252,118,13,34,28,11,18,1847,857,37,2863,16152,6466,18,23,6,390,958,2389,43,2047
30,407,70,10,2776,10,1519,85,8,4,20,7,7,1092,566,19,2181,7673,4360,70,25,8,283,605,1508,20,1391
31,501,39,4,2051,17,1161,73,3,5,9,8,15,779,400,17,1591,5926,3200,2,26,3,176,434,1279,13,1122
32,502,89,13,5081,53,2553,128,5,9,16,16,13,1712,672,22,3696,18937,9668,5,25,15,434,771,2607,21,2999
33,503,57,11,3643,24,1986,100,7,11,21,17,6,1401,491,17,1567,4055,3193,7,14,14,202,930,3167,22,1082
34,504,38,7,2293,12,1099,54,6,8,5,3,6,832,318,13,1968,6774,3148,2,10,9,207,393,991,9,1185
35,505,117,24,7879,43,2876,176,10,23,43,30,22,2969,1033,50,3205,9372,8196,33,33,10,357,1253,2153,50,2496
36,506,167,22,10537,47,3442,239,18,25,72,26,38,3563,1173,70,4631,13692,8830,18,62,17,656,1585,2447,38,2961
37,507,67,10,3124,18,2494,57,9,14,23,19,8,1133,686,15,2576,5994,4356,3,3,18,279,774,10162,11,1623
38,508,121,17,4916,54,3044,164,11,11,24,17,13,1841,891,29,2898,6489,4801,17,21,15,349,1097,3683,37,2299
39,509,41,7,1400,8,576,84,5,9,6,8,7,438,289,18,790,2605,1971,6,17,1,184,187,377,10,644
40,510,47,4,2298,12,1650,43,2,51,16,4,1,825,390,9,2283,4080,2571,5,7,9,211,541,4289,11,1253
41,511,255,30,18430,176,6557,246,24,43,82,27,31,6637,1689,75,7045,24588,13842,15,61,16,771,3174,6148,61,4637
42,601,191,20,13541,44,3077,220,59,12,92,19,27,4723,1361,59,3866,12855,13782,54,84,14,776,1957,3144,52,2358
43,602,38,8,1553,8,449,44,2,7,13,6,12,512,216,11,653,2144,1776,6,15,2,162,350,501,4,491
44,603,127,14,4214,31,2278,143,13,12,55,9,10,1540,876,34,2317,7580,6909,26,165,14,366,688,1432,24,2340
45,604,47,7,2014,9,884,88,6,7,23,6,16,847,396,12,1695,5391,3738,4,4,2,160,361,1098,8,1130
46,605,50,10,1463,8,740,45,6,10,34,10,8,522,301,13,1051,2959,2432,31,32,7,223,282,940,8,783
47,606,169,49,4054,36,3157,150,100,8,361,28,6,1184,808,27,1502,6894,5614,3273,11,10,339,578,790,18,1440
48,607,40,8,946,7,690,58,12,6,8,4,10,264,295,6,834,3223,2454,12,26,4,208,147,408,3,754
49,608,121,30,1315,22,2809,62,62,5,37,9,8,360,373,10,759,3265,2586,1826,14,9,237,277,362,16,826
50,609,316,43,2841,41,3189,97,274,11,139,11,30,1064,1633,20,1257,5795,4644,8106,23,5,338,485,457,23,1621
51,610,110,19,1950,26,1737,51,84,11,267,9,10,590,416,12,828,4563,4023,3049,105,3,390,293,429,11,1017
52,611,102,19,7369,36,2276,195,20,22,61,12,10,2746,921,31,3180,8232,6831,26,28,5,382,1158,1835,36,1487
53,612,49,5,1814,11,900,78,5,9,18,8,7,616,351,74,1118,3964,2784,14,29,1,212,395,1010,5,814
54,613,119,14,4458,19,1347,144,8,8,34,15,11,1365,731,43,1708,5827,5203,17,23,8,435,654,1225,23,1402
55,701,118,37,3457,21,5548,96,16,7,54,13,10,1379,853,34,1995,8903,6944,23,17,9,211,988,6732,14,1739
56,702,39,31,2653,24,2719,102,23,5,50,10,12,1188,675,26,1896,8880,5451,14,29,16,190,677,3895,25,1658
57,703,106,34,3353,17,9036,94,18,8,71,21,17,1144,627,18,1592,5105,4042,30,14,11,206,772,5079,18,2274
58,704,46,10,1473,21,2475,42,4,2,20,8,6,652,379,10,883,3155,2187,25,12,6,150,404,3329,7,912
59,705,23,20,333,4,604,19,3,8,7,1,2,137,214,5,394,1562,1290,6,5,2,67,68,323,7,232
60,706,145,32,9810,52,6830,232,20,12,59,18,34,3426,1230,39,3305,10477,7693,67,47,13,343,1766,6708,52,3219
61,707,337.83766549275583,91.4977010709547,13421.003449396743,79.43207016049915,11458.327487962637,238.29621048149744,38.20783121644262,24.131261820911128,130.71100152993532,39.21330045898059,29.15860803360095,4832.285179637454,2673.542715908446,48.262523641822256,4824.241425697151,15502.324781450325,13885.530239449281,64.35003152242969,33.18048500375281,44.24064667167042,547.9807371831903,3562.377526312006,13873.464608538823,67.36643925004357,4017.855093181703
62,708,99,25,2225,26,5581,75,19,16,14,17,10,915,660,23,1779,5944,5079,14,16,7,171,623,4782,14,1569
63,709,27,21,1219,4,1218,54,24,3,14,6,2,502,379,10,986,6302,3486,10,7,5,85,239,1855,6,782
64,710,85,19,1808,15,3869,83,11,8,19,11,5,761,415,23,1562,5835,3908,8,12,5,149,571,4408,10,1536
65,711,32,53,744,26,1098,43,9,,6,2,3,338,302,13,820,2714,1729,7,10,5,76,249,1268,7,506
66,712,49,31,1095,28,2178,67,3,5,7,7,16,470,387,9,1028,4754,3309,9,11,2,94,274,1532,3,765
67,713,92,73,2610,23,7643,120,21,10,39,7,10,999,859,22,2299,10737,6882,20,16,12,279,656,3624,13,2085
