percentage,id
0.47,1
0.18,2
9.38,3
0.11,4
7.43,5
0.39,6
0.20,7
0.06,8
0.22,9
0.05,10
0.07,11
3.41,12
3.01,13
0.13,14
6.33,15
26.42,16
18.91,17
6.22,18
0.09,19
0.03,20
1.03,21
2.04,22
7.78,23
0.06,24
5.88,25
