percentage,id
0.32,1
0.06,2
16.67,3
0.08,4
9.09,5
0.34,6
0.11,7
0.04,8
0.26,9
0.04,10
0.04,11
6.04,12
2.26,13
0.09,14
5.70,15
23.44,16
15.10,17
4.49,18
0.07,19
0.02,20
0.86,21
2.89,22
6.94,23
0.08,24
4.84,25
