percentage,id
0.38,1
0.09,2
12.38,3
0.09,4
8.94,5
0.39,6
0.16,7
0.04,8
0.32,9
0.05,10
0.05,11
4.44,12
2.59,13
0.09,14
5.96,15
24.69,16
16.77,17
6.01,18
0.09,19
0.02,20
0.96,21
2.44,22
7.49,23
0.06,24
5.38,25
