id,votes,percentage,sloped_percentage,abbreviation
1,209891.49899712778,7.521742043037818,7.521742043037818,Piráti
2,162415.7416554753,5.8203849050497976,5.8203849050497976,PRINCÍP
3,255298.3070015866,9.148955619762798,9.912731503092191,PS
4,96601.32867984385,3.4618375628183,3.4618375628183,SOS
5,280182.2860418869,10.040706225384325,11.088482822143938,OĽaNO
6,84233.40651922005,3.018616562705969,3.018616562705969,KSS
7,52690.27127270075,1.8882262053708254,1.8882262053708254,Maďarské fórum
8,33017.94876537028,1.1832422684577273,1.1832422684577273,Vlastenecký blok
9,89433.01276315136,3.2049513932212124,3.2049513932212124,Modrí
10,48023.006042996305,1.7209685257029275,1.7209685257029275,SPRAVODLIVOSŤ
11,37132.50832364705,1.3306930026034538,1.3306930026034538,SHO
12,117601.36815039934,4.214402009429319,4.654186990255975,SaS
13,132625.97461826794,4.752828838002361,4.752828838002361,SME Rodina
14,37419.78331071102,1.340987885237751,1.340987885237751,MySlovensko
15,108963.87919804624,3.90486606295405,3.4973820491403207,SNS
16,373838.2157055996,13.396991482754277,12.278579783216239,SMER-SD
17,218548.54623659165,7.831978886839343,7.42333411625541,HLAS-SD
18,91023.6554350693,3.261954196660045,3.261954196660045,Aliancia
19,64907.71313332041,2.3260545430618658,2.3260545430618658,SRDCE - SNJ
20,26941.308737929197,0.9654777615901311,0.9654777615901311,SDKÚ - DS
21,33560.42997706437,1.2026828068170885,1.0771793940071122,ĽSNS
22,49141.045545941546,1.76103496372096,1.9448040313187533,Demokrati
23,78511.74654766564,2.813573239990949,2.813573239990949,KDH
24,55614.10636426706,1.9930057387974967,1.9930057387974967,KARMA
25,52846.84600836449,1.8938372700292163,1.8938372700292163,Republika
