,code,1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,22,24
0,900,900.0,2214.0,666.0,666.0,2610.0,3600.0,2268.0,18.0,2160.0,234.0,1566.0,2718.0,630.0,2232.0,2466.0,3114.0,1800.0,342.0
