percentage,id
0.32,1
0.06,2
16.25,3
0.08,4
9.19,5
0.34,6
0.11,7
0.04,8
0.25,9
0.04,10
0.04,11
5.87,12
2.28,13
0.09,14
5.76,15
23.61,16
15.27,17
4.42,18
0.07,19
0.02,20
0.87,21
2.86,22
7.05,23
0.08,24
4.90,25
