percentage,id
0.41,1
0.10,2
11.37,3
0.10,4
8.92,5
0.42,6
0.17,7
0.04,8
0.29,9
0.04,10
0.05,11
4.09,12
2.67,13
0.09,14
6.05,15
25.25,16
17.30,17
5.91,18
0.10,19
0.02,20
1.01,21
2.31,22
7.54,23
0.06,24
5.56,25
