percentage,id
0.40,1
0.09,2
11.68,3
0.10,4
9.11,5
0.41,6
0.17,7
0.04,8
0.30,9
0.05,10
0.05,11
4.19,12
2.63,13
0.09,14
6.06,15
25.04,16
17.04,17
5.98,18
0.09,19
0.02,20
0.98,21
2.35,22
7.45,23
0.06,24
5.48,25
