percentage,id
0.46,1
0.18,2
8.84,3
0.09,4
7.60,5
0.45,6
0.26,7
0.06,8
0.26,9
0.04,10
0.07,11
3.20,12
3.04,13
0.10,14
6.42,15
26.10,16
18.96,17
7.84,18
0.08,19
0.03,20
0.98,21
1.94,22
7.05,23
0.04,24
5.78,25
