percentage,id
0.32,1
0.06,2
16.75,3
0.08,4
9.07,5
0.34,6
0.11,7
0.04,8
0.26,9
0.04,10
0.04,11
6.08,12
2.26,13
0.09,14
5.69,15
23.42,16
15.07,17
4.48,18
0.07,19
0.02,20
0.86,21
2.90,22
6.93,23
0.08,24
4.83,25
