,percentage
1,7.02
2,4.98
3,9.25
4,3.38
5,9.86
6,2.69
7,1.58
8,1.06
9,2.81
10,1.55
11,1.31
12,3.61
13,5.17
14,1.26
15,3.82
16,18.36
17,7.63
18,2.59
19,1.72
20,0.97
21,1.26
22,1.62
23,2.66
24,1.83
25,1.89
