percentage,id
0.42,1
0.13,2
10.79,3
0.10,4
8.69,5
0.43,6
0.18,7
0.05,8
0.29,9
0.05,10
0.05,11
3.86,12
2.70,13
0.09,14
6.14,15
25.51,16
17.89,17
6.07,18
0.11,19
0.02,20
1.06,21
2.24,22
7.48,23
0.06,24
5.48,25
