percentage,id
0.38,1
0.08,2
12.88,3
0.08,4
8.89,5
0.38,6
0.15,7
0.04,8
0.30,9
0.04,10
0.04,11
4.60,12
2.56,13
0.09,14
5.95,15
24.60,16
16.60,17
5.97,18
0.08,19
0.02,20
0.94,21
2.50,22
7.35,23
0.07,24
5.28,25
