,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes,votes
id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
code,,,,,,,,,,,,,,,,,,,,,,,,,
101,16.37267205229026,16.37267205229026,5468.472465464947,16.37267205229026,2409.51157036205,81.8633602614513,163.7267205229026,16.37267205229026,272.877867538171,109.1511470152684,16.37267205229026,1874.6709499872347,1086.0539128019207,16.37267205229026,1421.6936898738709,5225.611163355974,3179.0271568196927,818.633602614513,16.37267205229026,16.37267205229026,291.979318265843,968.716429760507,1787.3500323750202,16.37267205229026,1981.0933183271216
102,42.980000217171956,42.980000217171956,14355.320072535433,42.980000217171956,6325.223365293807,214.9000010858598,429.8000021717196,42.980000217171956,716.3333369528659,286.5333347811464,42.980000217171956,4921.210024866189,2851.0066810724065,42.980000217171956,3732.0966855244315,13717.783402647381,8345.283375500889,2149.0000108585978,42.980000217171956,42.980000217171956,766.4766705395666,2542.983346182674,4691.983357041272,42.980000217171956,5200.580026277807
103,26.385507419041797,26.385507419041797,8812.75947795996,26.385507419041797,3883.0671751689847,131.927537095209,263.855074190418,26.385507419041797,439.75845698403,175.903382793612,26.385507419041797,3021.140599480286,1750.2386587964395,26.385507419041797,2291.141560886796,8421.374451244174,5123.186023863949,1319.2753709520898,26.385507419041797,26.385507419041797,470.54154897291215,1561.1425222933062,2880.4178932453965,26.385507419041797,3192.6463977040576
104,37.38805339653552,37.38805339653552,12487.609834442863,37.38805339653552,5502.275191523478,186.9402669826776,373.8805339653552,37.38805339653552,623.134223275592,249.2536893102368,37.38805339653552,4280.932113903317,2480.0742086368564,37.38805339653552,3246.529303265834,11933.020375727585,7259.5137011606475,1869.402669826776,37.38805339653552,37.38805339653552,666.7536189048835,2212.1264926283516,4081.529162455128,37.38805339653552,4523.954460980798
105,38.790167563366616,38.790167563366616,12955.915966164452,38.790167563366616,5708.619659742121,193.95083781683311,387.90167563366623,38.790167563366616,646.502792722777,258.6011170891108,38.790167563366616,4441.474186005478,2573.0811150366526,38.790167563366616,3368.2795500856682,12380.528480641178,7531.757535220353,1939.5083781683309,38.790167563366616,38.790167563366616,691.7579882133715,2295.084914165858,4234.59329233419,38.790167563366616,4693.610275167361
106,25.05011973301722,25.05011973301722,8366.739990827751,25.05011973301722,3686.5426207090345,125.25059866508612,250.50119733017223,25.05011973301722,417.50199555028706,167.0007982201148,25.05011973301722,2868.2387094304718,1661.6579422901425,25.05011973301722,2175.1853968169953,7995.1632147879955,4863.898248160845,1252.5059866508611,25.05011973301722,25.05011973301722,446.7271352388072,1482.1320842035188,2734.63807085438,25.05011973301722,3031.0644876950837
107,24.159885906777475,24.159885906777475,8069.401892863678,24.159885906777475,3555.529875947419,120.79942953388739,241.59885906777478,24.159885906777475,402.664765112958,161.0659060451832,24.159885906777475,2766.306936326021,1602.6057651495728,24.159885906777475,2097.883426238511,7711.030251913145,4691.044513565961,1207.9942953388738,24.159885906777475,24.159885906777475,430.8512986708651,1429.4599161510007,2637.454211489875,24.159885906777475,2923.346194720075
108,34.20667804160538,34.20667804160538,11425.030465896198,34.20667804160538,5034.082785122926,171.0333902080269,342.0667804160538,34.20667804160538,570.111300693423,228.04452027736923,34.20667804160538,3916.664635763816,2269.042976759824,34.20667804160538,2970.279876612734,10917.63140827905,6641.796653078379,1710.3339020802691,34.20667804160538,34.20667804160538,610.0190917419627,2023.8951174616516,3734.229019541921,34.20667804160538,4139.008043034251
201,38.212805880572816,38.212805880572816,12763.077164111322,38.212805880572816,5623.651265424301,191.0640294028641,382.1280588057282,38.212805880572816,636.880098009547,254.7520392038188,38.212805880572816,4375.366273325588,2534.782790077997,38.212805880572816,3318.14531062974,12196.253876882824,7419.653141811223,1910.640294028641,38.212805880572816,38.212805880572816,681.4617048702154,2260.9243479338916,4171.564641962533,38.212805880572816,4623.749511549311
202,30.1968735348393,30.1968735348393,10085.755760636326,30.1968735348393,4443.973221877184,150.9843676741965,301.968735348393,30.1968735348393,503.281225580655,201.312490232262,30.1968735348393,3457.5420197391,2003.059277811007,30.1968735348393,2622.0951852752128,9637.835469869542,5863.226278014631,1509.843676741965,30.1968735348393,30.1968735348393,538.510911371301,1786.6483508113251,3296.4920275532904,30.1968735348393,3653.8216977155553
203,14.337646815234539,14.337646815234539,4788.774036288336,14.337646815234539,2110.0236896420165,71.6882340761727,143.3764681523454,14.337646815234539,238.960780253909,95.5843121015636,14.337646815234539,1641.6605603443547,951.0639054105578,14.337646815234539,1244.9856651228658,4576.098941862357,2783.89308995804,716.8823407617269,14.337646815234539,14.337646815234539,255.68803487168265,848.3107699013768,1565.193110663104,14.337646815234539,1734.8552646433793
204,21.02417950100892,21.02417950100892,7022.07595333698,21.02417950100892,3094.0584165651467,105.12089750504461,210.24179501008922,21.02417950100892,350.402991683482,140.16119667339282,21.02417950100892,2407.2685528655215,1394.6039069002586,21.02417950100892,1825.5995866709413,6710.21729073868,4082.194853112566,1051.208975050446,21.02417950100892,21.02417950100892,374.9312011013258,1243.9306204763611,2295.1395955268076,21.02417950100892,2543.9257196220797
205,18.63070740420744,18.63070740420744,6222.656273005285,18.63070740420744,2741.8191063191953,93.15353702103721,186.30707404207442,18.63070740420744,310.511790070124,124.2047160280496,18.63070740420744,2133.215997781752,1235.8369244790936,18.63070740420744,1617.7664262653461,5946.300779842874,3617.462354316945,931.535370210372,18.63070740420744,18.63070740420744,332.24761537503275,1102.3168547489402,2033.8522249593123,18.63070740420744,2254.3155959091
206,14.843554863092939,14.843554863092939,4957.747324273041,14.843554863092939,2184.476490685178,74.2177743154647,148.4355486309294,14.843554863092939,247.392581051549,98.9570324206196,14.843554863092939,1699.5870318241414,984.622472585165,14.843554863092939,1288.9153472785702,4737.567927137163,2882.1235692505456,742.1777431546469,14.843554863092939,14.843554863092939,264.71006172515746,878.2436627329988,1620.421405887646,14.843554863092939,1796.0701384342456
