name,median,lo,hi,in
stredopravica,65.5,48,84,1.0
stredopravica + HLAS,94.0,78,111,1.0
stredopravica + HLAS bez OĽaNO,87.0,70,106,1.0
SMER + SNS + HLAS,56.0,39,72,1.0
pragmatici + nacionalisti + HLAS,84.5,66,102,1.0
pragmatici + nacionalisti,68.0,50,85,1.0
