name,median,lo,hi,in
stredopravica,63.0,52,76,1.0
stredopravica + HLAS,91.0,79,105,1.0
stredopravica + HLAS bez OĽaNO,74.0,63,88,1.0
SMER + SNS + HLAS,53.0,40,64,1.0
pragmatici + nacionalisti + HLAS,81.0,69,94,1.0
pragmatici + nacionalisti,76.0,65,89,1.0
