name,median,lo,hi,in
stredopravica,76.0,56,94,1.0
stredopravica + HLAS,97.0,80,115,1.0
stredopravica + HLAS bez OĽaNO,83.0,64,102,1.0
SMER + SNS + HLAS,53.0,35,70,1.0
pragmatici + nacionalisti + HLAS,74.0,56,94,1.0
pragmatici + nacionalisti,62.0,44,81,1.0
