name,median,lo,hi,in
stredopravica,70.0,62,79,1.0
stredopravica + HLAS,95.0,86,107,1.0
stredopravica + HLAS bez OĽaNO,78.0,70,88,1.0
SMER + SNS + HLAS,48.0,37,57,1.0
pragmatici + nacionalisti + HLAS,73.0,63,82,1.0
pragmatici + nacionalisti,70.0,61,80,1.0
