name,median,lo,hi,in
stredopravica,74.0,70,79,1.0
stredopravica + HLAS,100.0,95,107,1.0
stredopravica + HLAS bez OĽaNO,83.0,79,89,1.0
SMER + SNS + HLAS,76.0,70,78,1.0
pragmatici + nacionalisti + HLAS,76.0,71,79,1.0
pragmatici + nacionalisti,50.0,43,53,1.0
