name,median,lo,hi,in
stredopravica,49.0,33,62,1.0
stredopravica + HLAS,78.0,64,90,1.0
stredopravica + HLAS bez OĽaNO,68.0,56,83,1.0
SMER + SNS + HLAS,62.0,49,74,1.0
pragmatici + nacionalisti + HLAS,91.0,78,107,1.0
pragmatici + nacionalisti,76.0,64,91,1.0
