name,median,lo,hi,in
stredopravica,72.0,65,80,1.0
stredopravica + HLAS,97.0,88,108,1.0
stredopravica + HLAS bez OĽaNO,80.0,73,90,1.0
SMER + SNS + HLAS,73.0,64,80,1.0
pragmatici + nacionalisti + HLAS,74.0,65,81,1.0
pragmatici + nacionalisti,49.0,39,56,1.0
