name,median,lo,hi,in
stredopravica,76.0,57,95,1.0
stredopravica + HLAS,97.0,80,115,1.0
stredopravica + HLAS bez OĽaNO,82.0,65,103,1.0
SMER + SNS + HLAS,53.0,35,70,1.0
pragmatici + nacionalisti + HLAS,74.0,55,93,1.0
pragmatici + nacionalisti,61.0,44,80,1.0
