name,median,lo,hi,in
stredopravica,70.0,61,81,1.0
stredopravica + HLAS,96.0,85,110,1.0
stredopravica + HLAS bez OĽaNO,78.0,68,89,1.0
SMER + SNS + HLAS,48.0,37,59,1.0
pragmatici + nacionalisti + HLAS,75.0,65,86,1.0
pragmatici + nacionalisti,71.0,61,82,1.0
