name,median,lo,hi,in
stredopravica,62.0,51,72,1.0
stredopravica + HLAS,90.0,79,102,1.0
stredopravica + HLAS bez OĽaNO,74.0,64,86,1.0
SMER + SNS + HLAS,55.0,43,65,1.0
pragmatici + nacionalisti + HLAS,82.0,73,95,1.0
pragmatici + nacionalisti,76.0,67,89,1.0
