name,median,lo,hi,in
stredopravica,65.0,46,83,1.0
stredopravica + HLAS,94.0,75,111,1.0
stredopravica + HLAS bez OĽaNO,87.0,69,106,1.0
SMER + SNS + HLAS,56.0,39,75,1.0
pragmatici + nacionalisti + HLAS,85.0,67,104,1.0
pragmatici + nacionalisti,67.0,50,85,1.0
