name,median,lo,hi,in
stredopravica,63.0,53,74,1.0
stredopravica + HLAS,91.0,80,104,1.0
stredopravica + HLAS bez OĽaNO,74.0,63,85,1.0
SMER + SNS + HLAS,54.0,41,63,1.0
pragmatici + nacionalisti + HLAS,82.0,70,93,1.0
pragmatici + nacionalisti,75.0,65,88,1.0
