id,median,lo,hi,in,seats
1,0.0,0,0,0.0,0
2,0.0,0,0,0.0,0
3,38.0,23,52,0.998,35
4,0.0,0,0,0.0,0
5,16.0,0,24,0.82,15
6,0.0,0,0,0.0,0
7,0.0,0,0,0.0,0
8,0.0,0,0,0.0,0
9,0.0,0,0,0.0,0
10,0.0,0,0,0.0,0
11,0.0,0,0,0.0,0
12,13.0,0,19,0.893,12
13,0.0,0,11,0.109,0
14,0.0,0,0,0.0,0
15,9.0,0,14,0.545,10
16,34.0,22,50,1.0,34
17,21.0,12,31,0.993,20
18,0.0,0,0,0.0,0
19,0.0,0,0,0.0,0
20,0.0,0,0,0.0,0
21,0.0,0,0,0.0,0
22,0.0,0,9,0.039,0
23,12.0,0,18,0.845,11
24,0.0,0,0,0.0,0
25,13.0,0,20,0.909,13
