name,median,lo,hi,in
stredopravica,65.0,48,82,1.0
stredopravica + HLAS,94.0,77,111,1.0
stredopravica + HLAS bez OĽaNO,87.0,70,107,1.0
SMER + SNS + HLAS,56.0,39,73,1.0
pragmatici + nacionalisti + HLAS,85.0,68,102,1.0
pragmatici + nacionalisti,68.0,50,84,1.0
