name,median,lo,hi,in
stredopravica,76.0,56,93,1.0
stredopravica + HLAS,97.0,78,115,1.0
stredopravica + HLAS bez OĽaNO,82.0,64,103,1.0
SMER + SNS + HLAS,53.0,35,72,1.0
pragmatici + nacionalisti + HLAS,74.0,57,94,1.0
pragmatici + nacionalisti,62.0,45,82,1.0
