name,median,lo,hi,in
stredopravica,74.0,71,76,1.0
stredopravica + HLAS,100.0,97,102,1.0
stredopravica + HLAS bez OĽaNO,83.0,80,85,1.0
SMER + SNS + HLAS,76.0,74,79,1.0
pragmatici + nacionalisti + HLAS,76.0,74,79,1.0
pragmatici + nacionalisti,50.0,48,53,1.0
