name,median,lo,hi,in
stredopravica,63.0,53,74,1.0
stredopravica + HLAS,91.0,81,104,1.0
stredopravica + HLAS bez OĽaNO,74.0,63,85,1.0
SMER + SNS + HLAS,53.0,42,65,1.0
pragmatici + nacionalisti + HLAS,81.0,70,93,1.0
pragmatici + nacionalisti,75.0,64,87,1.0
