name,median,lo,hi,in
stredopravica,66.0,55,77,1.0
stredopravica + HLAS,94.0,84,107,1.0
stredopravica + HLAS bez OĽaNO,77.0,66,90,1.0
SMER + SNS + HLAS,55.0,43,66,1.0
pragmatici + nacionalisti + HLAS,84.0,73,95,1.0
pragmatici + nacionalisti,74.0,63,85,1.0
