name,median,lo,hi,in
PS + OĽaNO + KDH + SaS,71.0,71,73,1.0
stredopravica + HLAS,98.0,98,99,1.0
stredopravica + HLAS bez OĽaNO,82.0,81,83,1.0
SMER + SNS + HLAS,79.0,77,79,1.0
SMER + HLAS + KDH,80.0,79,81,1.0
SMER + SNS,52.0,51,52,1.0
