name,median,lo,hi,in
stredopravica,70.0,60,81,1.0
stredopravica + HLAS,96.0,85,109,1.0
stredopravica + HLAS bez OĽaNO,78.0,68,90,1.0
SMER + SNS + HLAS,49.0,37,59,1.0
pragmatici + nacionalisti + HLAS,75.0,65,85,1.0
pragmatici + nacionalisti,72.0,61,82,1.0
