name,median,lo,hi,in
stredopravica,69.0,60,80,1.0
stredopravica + HLAS,95.0,85,108,1.0
stredopravica + HLAS bez OĽaNO,78.0,68,89,1.0
SMER + SNS + HLAS,48.0,37,58,1.0
pragmatici + nacionalisti + HLAS,73.0,63,83,1.0
pragmatici + nacionalisti,71.0,60,80,1.0
