name,median,lo,hi,in
stredopravica,70.0,61,80,1.0
stredopravica + HLAS,95.0,85,109,1.0
stredopravica + HLAS bez OĽaNO,78.0,69,89,1.0
SMER + SNS + HLAS,47.0,36,57,1.0
pragmatici + nacionalisti + HLAS,73.0,62,83,1.0
pragmatici + nacionalisti,70.0,60,80,1.0
