name,median,lo,hi,in
PS + OĽaNO + KDH + SaS,72.0,71,74,1.0
stredopravica + HLAS,99.0,97,100,1.0
stredopravica + HLAS bez OĽaNO,82.0,80,83,1.0
SMER + SNS + HLAS,78.0,76,79,1.0
SMER + HLAS + KDH,80.0,78,81,1.0
SMER + SNS,51.0,50,53,1.0
