name,median,lo,hi,in
stredopravica,58.0,42,72,1.0
stredopravica + HLAS,88.0,74,104,1.0
stredopravica + HLAS bez OĽaNO,76.0,64,93,1.0
SMER + SNS + HLAS,57.0,42,71,1.0
pragmatici + nacionalisti + HLAS,87.0,74,104,1.0
pragmatici + nacionalisti,77.0,65,94,1.0
