name,median,lo,hi,in
stredopravica,69.0,61,79,1.0
stredopravica + HLAS,95.0,85,106,1.0
stredopravica + HLAS bez OĽaNO,78.0,70,88,1.0
SMER + SNS + HLAS,47.0,36,57,1.0
pragmatici + nacionalisti + HLAS,72.0,62,82,1.0
pragmatici + nacionalisti,70.0,60,79,1.0
